dataset	classifier	accuracy	precision	recall	f1score	metric	time_budget	full	methods
dataset_60_waveform-5000	 libsvm_svc	0.8544	0.8578513988387	0.8544	0.8544	micro	30	False	['decision_tree', 'random_forest', 'libsvm_svc']
dataset_60_waveform-5000	 decision_tree	0.8424	0.8434771696190433	0.8424	0.8424000000000001	micro	30	False	['decision_tree']
dataset_60_waveform-5000	 random_forest	0.8568	0.8611463530489025	0.8568	0.8568	micro	30	False	['random_forest']
dataset_60_waveform-5000	 libsvm_svc	0.872	0.8737352622898181	0.872	0.872	micro	30	False	['libsvm_svc']
dataset_60_waveform-5000	 adaboost	0.852	0.8527509308084241	0.852	0.852	micro	60	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
dataset_60_waveform-5000	 libsvm_svc	0.856	0.8562302880578069	0.856	0.856	micro	60	False	['decision_tree', 'random_forest', 'libsvm_svc']
dataset_60_waveform-5000	 decision_tree	0.8432	0.8451160648257139	0.8432	0.8432	micro	60	False	['decision_tree']
dataset_60_waveform-5000	 random_forest	0.8608	0.86268471407707	0.8608	0.8607999999999999	micro	60	False	['random_forest']
dataset_60_waveform-5000	 libsvm_svc	0.8632	0.865670406189555	0.8632	0.8632	micro	60	False	['libsvm_svc']
dataset_60_waveform-5000	 liblinear_svc	0.8632	0.8631666012598773	0.8632	0.8632	micro	10	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
dataset_60_waveform-5000	 libsvm_svc	0.864	0.8652993786148918	0.864	0.864	micro	10	False	['decision_tree', 'random_forest', 'libsvm_svc']
dataset_60_waveform-5000	 decision_tree	0.8448	0.8458889043369187	0.8448	0.8447999999999999	micro	10	False	['decision_tree']
dataset_60_waveform-5000	 random_forest	0.8504	0.850338759027434	0.8504	0.8504	micro	10	False	['random_forest']
dataset_60_waveform-5000	 libsvm_svc	0.8536	0.8541559638247723	0.8536	0.8536	micro	10	False	['libsvm_svc']
dataset_60_waveform-5000	 lda	0.8544	0.8541764517304371	0.8544	0.8544	micro	30	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
dataset_60_waveform-5000	 libsvm_svc	0.8752	0.8776223243305816	0.8752	0.8752	micro	30	False	['decision_tree', 'random_forest', 'libsvm_svc']
dataset_60_waveform-5000	 decision_tree	0.8448	0.8456903511879033	0.8448	0.8447999999999999	micro	30	False	['decision_tree']
dataset_60_waveform-5000	 random_forest	0.8448	0.8493376819407009	0.8448	0.8447999999999999	micro	30	False	['random_forest']
dataset_60_waveform-5000	 libsvm_svc	0.8536	0.8536524604686185	0.8536	0.8536	micro	30	False	['libsvm_svc']
dataset_60_waveform-5000	 liblinear_svc	0.8608	0.8614215355195866	0.8608	0.8607999999999999	micro	60	True	['adaboost', 'bernoulli_nb', 'decision_tree', 'extra_trees', 'gaussian_nb', 'gradient_boosting', 'k_nearest_neighbors', 'lda', 'liblinear_svc', 'libsvm_svc', 'multinomial_nb', 'passive_aggressive', 'qda', 'random_forest', 'sgd']
dataset_60_waveform-5000	 libsvm_svc	0.8584	0.8624672427605415	0.8584	0.8584	micro	60	False	['decision_tree', 'random_forest', 'libsvm_svc']
dataset_60_waveform-5000	 decision_tree	0.8424	0.842726528165355	0.8424	0.8424000000000001	micro	60	False	['decision_tree']
dataset_60_waveform-5000	 random_forest	0.856	0.8578939344316643	0.856	0.856	micro	60	False	['random_forest']
dataset_60_waveform-5000	 libsvm_svc	0.8656	0.8660941180657186	0.8656	0.8656	micro	60	False	['libsvm_svc']
