,error_1,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std
avila-tr,,1820.8395063877106,0.9919493962047153,0.9919493962047153,0.9919493962047153,0.9919493962047153,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy a...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9919493962047153,0.0,0.9919493962047153,0.0,0.9919493962047153,0.0,0.9919493962047153,0.0
GCM,,1816.7996218204498,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f3996857dd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.4791666666666667,0.0,0.4791666666666667,0.0,0.4791666666666667,0.0,0.4791666666666667,0.0
phpVeNa5j,,1804.995831489563,0.998533724340176,0.998533724340176,0.998533724340176,0.998533724340176,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.998533724340176,0.0,0.998533724340176,0.0,0.998533724340176,0.0,0.998533724340176,0.0
dataset_61_iris,,1800.3476753234863,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.9736842105263158,0.0,0.9736842105263158,0.0,0.9736842105263158,0.0,0.9736842105263158,0.0
phpN4gaxw,,1813.148187637329,0.9919493962047153,0.9919493962047153,0.9919493962047153,0.9919493962047153,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9919493962047153,0.0,0.9919493962047153,0.0,0.9919493962047153,0.0,0.9919493962047153,0.0
phpCsX3fx,,1816.5580303668976,0.6425,0.6425,0.6425,0.6425,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f533aac6dd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.6425,0.0,0.6425,0.0,0.6425,0.0,0.6425,0.0
php0FyS2T,,1807.0826880931854,0.5225,0.5225,0.5225,0.5225,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f534497ddd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.5225,0.0,0.5225,0.0,0.5225,0.0,0.5225,0.0
analcatdata_authorship,,1836.3941929340363,0.976303317535545,0.976303317535545,0.976303317535545,0.976303317535545,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.976303317535545,0.0,0.976303317535545,0.0,0.976303317535545,0.0,0.976303317535545,0.0
jungle_chess_2pcs_endgame_panther_lion,,1808.5379235744476,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          fu...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
phpHyLSNF,,1802.9843292236328,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_le...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.8461538461538461,0.0,0.8461538461538461,0.0,0.8461538461538461,0.0,0.8461538461538461,0.0
php5OMDBD,,1800.689015865326,0.996,0.996,0.996,0.996,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', Functio...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.996,0.0,0.996,0.0,0.996,0.0,0.996,0.0
phptd5jYj,,1802.651662349701,0.9273182957393483,0.9273182957393483,0.9273182957393483,0.9273182957393483,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.9273182957393483,0.0,0.9273182957393483,0.0,0.9273182957393483,0.0,0.9273182957393483,0.0
phpNevWWL,,1851.236605644226,0.7042857142857143,0.7042857142857143,0.7042857142857143,0.7042857142857143,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fee83ea0dd0>, inv_kw_args=None,
          inverse_func=None,...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.7042857142857143,0.0,0.7042857142857143,0.0,0.7042857142857143,0.0,0.7042857142857143,0.0
phpmcGu2X,,1800.7262983322144,0.9296296296296296,0.9296296296296296,0.9296296296296296,0.9296296296296296,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_featu...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9296296296296296,0.0,0.9296296296296296,0.0,0.9296296296296296,0.0,0.9296296296296296,0.0
dataset_26_nursery,,1802.1875350475311,0.9929012345679012,0.9929012345679012,0.9929012345679012,0.9929012345679012,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.9929012345679012,0.0,0.9929012345679012,0.0,0.9929012345679012,0.0,0.9929012345679012,0.0
dataset_54_vehicle,,1800.4035546779633,0.7594339622641509,0.7594339622641509,0.7594339622641509,0.7594339622641509,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f159e83fdd0>, inv_kw_args=None,
          inverse_func=Non...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.7594339622641509,0.0,0.7594339622641509,0.0,0.7594339622641509,0.0,0.7594339622641509,0.0
dataset_194_eucalyptus,,1837.1611144542694,0.7065217391304348,0.7065217391304348,0.7065217391304348,0.7065217391304348,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f08de516dd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.7065217391304348,0.0,0.7065217391304348,0.0,0.7065217391304348,0.0,0.7065217391304348,0.0
dataset_60_waveform-5000,,1813.0639309883118,0.8656,0.8656,0.8656,0.8656,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func...,
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.8656,0.0,0.8656,0.0,0.8656,0.0,0.8656,0.0
dataset_42_soybean,,1802.242918729782,0.9532163742690059,0.9532163742690059,0.9532163742690059,0.9532163742690059,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at ...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9532163742690059,0.0,0.9532163742690059,0.0,0.9532163742690059,0.0,0.9532163742690059,0.0
dataset_39_ecoli,,1804.1032342910767,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy a...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.8928571428571429,0.0,0.8928571428571429,0.0,0.8928571428571429,0.0,0.8928571428571429,0.0
dataset_6_letter,,1823.3178572654724,0.972,0.972,0.972,0.972,"Pipeline(memory=None,
     steps=[('svc', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])",0.972,0.0,0.972,0.0,0.972,0.0,0.972,0.0
ipums_la_99-small,,1877.1459176540375,0.9317051108095884,0.9317051108095884,0.9317051108095884,0.9317051108095884,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f06b66d9dd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9317051108095884,0.0,0.9317051108095884,0.0,0.9317051108095884,0.0,0.9317051108095884,0.0
phpchCuL5,,1802.877364873886,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f99c265bdd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
phpYLeydd,,1906.3570234775543,0.5848521668691778,0.5848521668691778,0.5848521668691778,0.5848521668691778,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fb275a92dd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.5848521668691778,0.0,0.5848521668691778,0.0,0.5848521668691778,0.0,0.5848521668691778,0.0
dataset_36_segment,,1802.2887136936188,0.9792387543252595,0.9792387543252595,0.9792387543252595,0.9792387543252595,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion-1', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy a...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9792387543252595,0.0,0.9792387543252595,0.0,0.9792387543252595,0.0,0.9792387543252595,0.0
php5s7Ep8,,1812.8363211154938,0.7674897119341564,0.7674897119341564,0.7674897119341564,0.7674897119341564,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.7674897119341564,0.0,0.7674897119341564,0.0,0.7674897119341564,0.0,0.7674897119341564,0.0
phpbL6t4U,,1812.8263728618622,0.9933870040253019,0.9933870040253019,0.9933870040253019,0.9933870040253019,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9933870040253019,0.0,0.9933870040253019,0.0,0.9933870040253019,0.0,0.9933870040253019,0.0
phpoOxxNn,,1836.6055552959442,0.645,0.645,0.645,0.645,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f1ffd238dd0>, inv_kw_args=None,
          inverse_func=None, k...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.645,0.0,0.645,0.0,0.645,0.0,0.645,0.0
phpPbCMyg,,1810.6231973171234,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7ff6bc443dd0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.5882352941176471,0.0,0.5882352941176471,0.0,0.5882352941176471,0.0,0.5882352941176471,0.0
