height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
5,17,85,3.4,0.38799999999999996,0.8590000000000001,1.83,33,73,18,P
10,25,250,2.5,0.392,0.8079999999999999,2.51,98,202,39,P
5,8,40,1.6,0.325,0.9,1.63,13,36,8,P
17,245,4165,14.412,0.9129999999999999,0.997,12.97,3801,4152,293,P
8,32,256,4.0,0.402,0.496,34.33,103,127,3,P
8,17,136,2.125,0.529,0.853,2.88,72,116,25,P
10,31,310,3.1,0.316,0.752,1.66,98,233,59,P
6,146,876,24.333000000000002,0.325,0.691,1.83,285,605,156,P
54,357,19278,6.611000000000001,0.299,0.655,6.4,5766,12626,901,N
8,34,272,4.25,0.36,0.7170000000000001,1.88,98,195,52,P
7,14,98,2.0,0.102,0.204,10.0,10,20,1,N
1,167,167,167.0,0.192,1.0,1.03,32,167,31,P
7,40,280,5.7139999999999995,0.18600000000000003,0.754,2.26,52,211,23,P
8,127,1016,15.875,0.314,0.825,1.98,319,838,161,P
24,280,6720,11.667,0.449,0.904,7.76,3018,6072,389,P
1,255,255,255.0,0.6859999999999999,1.0,4.86,175,255,36,N
10,38,380,3.8,0.187,0.46299999999999997,1.37,71,176,52,P
5,31,155,6.2,0.361,0.9740000000000001,1.56,56,151,36,P
10,509,5090,50.9,0.09699999999999999,0.38799999999999996,1.23,492,1974,401,P
10,319,3190,31.9,0.239,0.674,1.67,764,2149,458,P
1,106,106,106.0,0.434,1.0,1.02,46,106,45,N
5,43,215,8.6,0.37200000000000005,0.888,1.45,80,191,55,P
9,21,189,2.333,0.529,0.958,3.33,100,181,30,P
8,242,1936,30.25,0.23199999999999998,0.611,1.72,450,1183,262,P
69,3,207,0.043,0.643,0.9520000000000001,2.08,133,197,64,N
9,36,324,4.0,0.395,0.6729999999999999,2.37,128,218,54,P
14,1,14,0.071,1.0,1.0,14.0,14,14,1,N
2,536,1072,268.0,0.586,0.6859999999999999,21.66,628,735,29,N
9,37,333,4.111000000000001,0.381,0.8079999999999999,2.05,127,269,62,P
12,42,504,3.5,0.355,0.7879999999999999,2.71,179,397,66,P
1,16,16,16.0,1.0,1.0,16.0,16,16,1,N
8,13,104,1.625,0.6829999999999999,0.8170000000000001,7.1,71,85,10,P
6,4,24,0.667,0.41700000000000004,0.5,5.0,10,12,2,P
8,25,200,3.125,0.335,0.77,1.68,67,154,40,P
6,11,66,1.8330000000000002,0.39399999999999996,0.955,1.53,26,63,17,P
8,69,552,8.625,0.27899999999999997,0.687,1.5,154,379,103,P
16,344,5504,21.5,0.373,0.5720000000000001,5.73,2053,3146,358,P
7,62,434,8.857000000000001,0.272,0.963,1.46,118,418,81,P
7,231,1617,33.0,0.26,0.64,1.71,420,1035,246,P
8,12,96,1.5,0.385,0.8959999999999999,1.68,37,86,22,P
12,500,6000,41.667,0.264,0.595,2.45,1584,3568,646,P
25,495,12375,19.8,0.46399999999999997,0.9520000000000001,7.33,5748,11777,784,P
8,24,192,3.0,0.318,0.688,2.65,61,132,23,P
8,53,424,6.625,0.344,0.884,1.83,146,375,80,P
7,40,280,5.7139999999999995,0.336,0.782,1.47,94,219,64,P
9,83,747,9.222000000000001,0.289,0.7509999999999999,1.93,216,561,112,P
7,14,98,2.0,0.337,0.7859999999999999,1.38,33,77,24,P
10,26,260,2.6,0.312,0.5770000000000001,2.03,81,150,40,P
8,83,664,10.375,0.325,0.9079999999999999,1.76,216,603,123,P
9,99,891,11.0,0.28800000000000003,0.8009999999999999,1.95,257,714,132,P
9,35,315,3.889,0.273,0.654,1.65,86,206,52,P
8,12,96,1.5,0.41700000000000004,0.9690000000000001,2.11,40,93,19,P
17,341,5797,20.059,0.935,0.998,36.38,5420,5784,149,N
7,214,1498,30.570999999999998,0.461,0.865,2.95,691,1296,234,P
12,11,132,0.917,0.371,1.0,1.63,49,132,30,P
8,17,136,2.125,0.456,0.8240000000000001,2.38,62,112,26,P
9,534,4806,59.333,0.163,0.633,1.34,784,3043,585,P
8,10,80,1.25,0.325,0.9129999999999999,1.53,26,73,17,P
9,251,2259,27.889,0.187,0.672,1.33,423,1517,317,P
15,222,3330,14.8,0.414,0.728,5.34,1378,2425,258,P
7,74,518,10.571,0.16,0.83,1.12,83,430,74,P
7,27,189,3.8569999999999998,0.079,0.175,2.5,15,33,6,P
10,83,830,8.3,0.425,0.86,2.92,353,714,121,P
12,278,3336,23.166999999999998,0.11,0.14400000000000002,15.91,366,479,23,N
7,5,35,0.7140000000000001,0.2,0.429,7.0,7,15,1,P
5,14,70,2.8,0.557,0.871,2.79,39,61,14,P
9,48,432,5.332999999999999,0.22699999999999998,0.657,1.42,98,284,69,P
8,21,168,2.625,0.35700000000000004,0.9109999999999999,1.67,60,153,36,P
7,42,294,6.0,0.33299999999999996,0.8440000000000001,1.46,98,248,67,P
6,19,114,3.167,0.184,0.7809999999999999,1.24,21,89,17,P
25,340,8500,13.6,0.866,0.9259999999999999,16.57,7358,7872,444,P
10,6,60,0.6,0.33299999999999996,0.8170000000000001,2.5,20,49,8,P
6,13,78,2.167,0.128,0.5770000000000001,1.67,10,45,6,P
1,17,17,17.0,0.765,1.0,3.25,13,17,4,N
6,104,624,17.333,0.099,0.258,2.0,62,161,31,P
9,81,729,9.0,0.348,0.927,2.21,254,676,115,P
8,23,184,2.875,0.451,0.8320000000000001,2.08,83,153,40,P
7,19,133,2.714,0.361,0.917,1.5,48,122,32,P
9,42,378,4.667,0.429,0.976,2.75,162,369,59,P
14,27,378,1.929,0.479,0.7090000000000001,7.24,181,268,25,P
10,155,1550,15.5,0.314,0.631,2.64,486,978,184,P
9,72,648,8.0,0.255,0.494,2.01,165,320,82,P
8,14,112,1.75,0.39299999999999996,0.705,2.32,44,79,19,P
6,43,258,7.167000000000001,0.205,0.69,1.77,53,178,30,P
5,19,95,3.8,0.23199999999999998,0.4,5.5,22,38,4,P
7,16,112,2.286,0.295,0.92,1.18,33,103,28,P
11,25,275,2.273,0.276,0.629,1.9,76,173,40,P
6,7,42,1.167,0.452,0.833,2.11,19,35,9,P
8,9,72,1.125,0.431,0.903,2.07,31,65,15,P
8,192,1536,24.0,0.207,0.579,1.57,318,889,203,P
9,66,594,7.332999999999999,0.24100000000000002,0.7070000000000001,1.42,143,420,101,P
5,24,120,4.8,0.375,0.95,1.45,45,114,31,P
8,23,184,2.875,0.28800000000000003,1.0,1.47,53,184,36,P
9,42,378,4.667,0.344,0.9309999999999999,2.13,130,352,61,P
10,100,1000,10.0,0.436,0.91,2.53,436,910,172,P
7,95,665,13.571,0.29600000000000004,0.982,1.64,197,653,120,P
11,261,2871,23.726999999999997,0.251,0.6609999999999999,2.0,722,1898,361,P
9,24,216,2.667,0.537,1.0,2.9,116,216,40,P
14,62,868,4.428999999999999,0.433,0.6459999999999999,5.97,376,561,63,P
9,80,720,8.889,0.304,0.838,1.8,219,603,122,P
5,33,165,6.6,0.376,0.903,1.44,62,149,43,P
8,16,128,2.0,0.258,0.945,1.18,33,121,28,P
9,152,1368,16.889,0.379,0.765,2.77,518,1047,187,P
9,170,1530,18.889,0.371,0.7659999999999999,2.6,567,1172,218,P
9,42,378,4.667,0.452,0.9420000000000001,2.85,171,356,60,P
10,11,110,1.1,0.382,1.0,1.5,42,110,28,P
36,5,180,0.139,0.6559999999999999,0.8170000000000001,7.87,118,147,15,P
11,184,2024,16.727,0.455,0.76,4.72,920,1539,195,P
9,267,2403,29.666999999999998,0.16399999999999998,0.73,1.28,393,1754,307,P
9,285,2565,31.666999999999998,0.33799999999999997,0.765,2.42,866,1961,358,P
7,14,98,2.0,0.337,0.98,1.83,33,96,18,P
8,84,672,10.5,0.22899999999999998,0.6890000000000001,1.4,154,463,110,P
6,60,360,10.0,0.292,0.8220000000000001,1.57,105,296,67,P
7,38,266,5.428999999999999,0.327,0.951,1.38,87,253,63,P
10,154,1540,15.4,0.342,0.664,2.55,527,1022,207,P
7,50,350,7.143,0.266,0.74,1.45,93,259,64,P
31,105,3255,3.387,0.22399999999999998,0.41700000000000004,5.35,728,1358,136,N
7,143,1001,20.429000000000002,0.113,0.528,1.47,113,529,77,P
7,91,637,13.0,0.33399999999999996,0.975,1.76,213,621,121,P
11,23,253,2.0909999999999997,0.585,0.8340000000000001,8.22,148,211,18,P
8,50,400,6.25,0.428,0.74,2.31,171,296,74,P
7,7,49,1.0,0.265,0.7959999999999999,1.44,13,39,9,P
10,162,1620,16.2,0.45399999999999996,0.573,5.93,735,928,124,P
10,34,340,3.4,0.38799999999999996,0.8909999999999999,2.1,132,303,63,P
24,280,6720,11.667,0.456,0.9129999999999999,7.66,3064,6134,400,P
7,25,175,3.571,0.303,0.7090000000000001,1.51,53,124,35,P
5,14,70,2.8,0.32899999999999996,0.5,2.56,23,35,9,P
9,21,189,2.333,0.317,0.778,2.61,60,147,23,P
6,27,162,4.5,0.136,0.6729999999999999,2.0,22,109,11,P
9,2,18,0.222,0.611,0.722,11.0,11,13,1,N
1,31,31,31.0,0.226,1.0,1.17,7,31,6,P
8,21,168,2.625,0.33899999999999997,0.6729999999999999,1.97,57,113,29,P
7,20,140,2.8569999999999998,0.257,0.879,1.13,36,123,32,P
11,104,1144,9.455,0.39399999999999996,0.8240000000000001,2.97,451,943,152,P
5,11,55,2.2,0.455,1.0,1.67,25,55,15,P
4,4,16,1.0,0.43799999999999994,0.43799999999999994,7.0,7,7,1,P
44,3,132,0.068,0.598,0.841,2.47,79,111,32,N
3,116,348,38.667,0.385,0.494,33.5,134,172,4,N
10,309,3090,30.9,0.2,0.73,1.4,618,2257,441,P
8,216,1728,27.0,0.156,0.511,1.33,270,883,203,P
8,18,144,2.25,0.215,0.813,2.38,31,117,13,P
1,47,47,47.0,1.0,1.0,47.0,47,47,1,N
8,59,472,7.375,0.381,0.873,2.77,180,412,65,P
1,102,102,102.0,0.961,1.0,24.5,98,102,4,N
9,106,954,11.777999999999999,0.309,0.7909999999999999,1.97,295,755,150,P
17,19,323,1.1179999999999999,0.36200000000000004,0.381,58.5,117,123,2,P
10,38,380,3.8,0.424,0.9390000000000001,2.78,161,357,58,P
6,44,264,7.332999999999999,0.265,0.8109999999999999,1.23,70,214,57,P
8,13,104,1.625,0.423,0.9229999999999999,1.76,44,96,25,P
6,39,234,6.5,0.192,0.19699999999999998,45.0,45,46,1,N
8,299,2392,37.375,0.18600000000000003,0.687,1.32,446,1643,338,P
7,24,168,3.429,0.196,0.762,1.38,33,128,24,P
9,6,54,0.667,0.37,0.907,2.5,20,49,8,P
1,13,13,13.0,1.0,1.0,13.0,13,13,1,N
8,25,200,3.125,0.33,1.0,1.65,66,200,40,P
4,69,276,17.25,0.377,0.96,1.82,104,265,57,P
9,108,972,12.0,0.376,0.815,2.35,365,792,155,P
1,77,77,77.0,0.325,1.0,1.04,25,77,24,P
9,82,738,9.111,0.35200000000000004,0.7979999999999999,2.63,260,589,99,P
9,107,963,11.889000000000001,0.32799999999999996,0.6559999999999999,2.08,316,632,152,P
7,17,119,2.4290000000000003,0.336,0.9079999999999999,1.48,40,108,27,P
7,31,217,4.428999999999999,0.313,0.71,1.51,68,154,45,P
9,103,927,11.444,0.369,0.877,2.55,342,813,134,P
11,20,220,1.818,0.564,0.9179999999999999,8.86,124,202,14,P
7,11,77,1.571,0.364,0.948,1.47,28,73,19,P
6,14,84,2.333,0.512,1.0,3.07,43,84,14,P
4,9,36,2.25,0.611,0.611,22.0,22,22,1,N
8,67,536,8.375,0.381,0.746,2.49,204,400,82,P
8,16,128,2.0,0.47700000000000004,0.875,2.44,61,112,25,P
11,22,242,2.0,0.624,0.88,9.44,151,213,16,P
7,33,231,4.7139999999999995,0.34600000000000003,0.879,1.36,80,203,59,P
11,271,2981,24.636,0.177,0.588,1.49,527,1752,353,P
7,18,126,2.571,0.31,0.96,1.39,39,121,28,P
1,28,28,28.0,0.536,1.0,3.0,15,28,5,N
14,320,4480,22.857,0.354,0.585,4.46,1584,2621,355,P
15,356,5340,23.733,0.39799999999999996,0.738,5.32,2127,3940,400,P
11,9,99,0.818,0.465,0.687,5.75,46,68,8,P
804,11,8844,0.013999999999999999,0.191,0.233,15.64,1689,2058,108,N
8,158,1264,19.75,0.102,0.34600000000000003,1.33,129,437,97,P
6,32,192,5.332999999999999,0.365,0.958,1.67,70,184,42,P
9,10,90,1.111,0.389,0.889,1.94,35,80,18,P
11,87,957,7.909,0.319,0.628,2.65,305,601,115,P
1,172,172,172.0,0.465,1.0,1.04,80,172,77,N
16,90,1440,5.625,0.19699999999999998,0.77,1.39,283,1109,204,P
9,41,369,4.556,0.336,0.6940000000000001,1.91,124,256,65,P
9,44,396,4.888999999999999,0.465,0.9440000000000001,3.35,184,374,55,P
1,118,118,118.0,0.18600000000000003,1.0,1.05,22,118,21,P
14,57,798,4.071000000000001,0.727,0.951,11.84,580,759,49,P
8,36,288,4.5,0.42700000000000005,0.924,1.98,123,266,62,P
6,49,294,8.167,0.28600000000000003,0.6940000000000001,1.38,84,204,61,P
10,285,2850,28.5,0.175,0.598,1.58,499,1703,315,P
11,42,462,3.818,0.335,0.8290000000000001,2.25,155,383,69,P
7,8,56,1.143,0.33899999999999997,0.875,2.38,19,49,8,P
9,347,3123,38.556,0.111,0.433,1.26,347,1351,275,P
24,107,2568,4.458,0.9079999999999999,0.982,16.91,2333,2523,138,P
8,63,504,7.875,0.33299999999999996,0.7340000000000001,1.58,168,370,106,P
10,11,110,1.1,0.273,0.927,1.58,30,102,19,P
9,82,738,9.111,0.32,0.9470000000000001,2.13,236,699,111,P
1,46,46,46.0,0.7829999999999999,1.0,12.0,36,46,3,N
9,34,306,3.778,0.31,0.895,1.61,95,274,59,P
8,17,136,2.125,0.228,0.86,1.48,31,117,21,P
8,52,416,6.5,0.325,0.877,1.75,135,365,77,P
7,47,329,6.7139999999999995,0.158,0.289,5.78,52,95,9,N
9,17,153,1.889,0.392,0.935,2.22,60,143,27,P
8,70,560,8.75,0.298,0.914,1.76,167,512,95,P
9,100,900,11.110999999999999,0.276,0.847,1.91,248,762,130,P
7,12,84,1.714,0.46399999999999997,1.0,2.17,39,84,18,P
10,510,5100,51.0,0.162,0.537,1.47,827,2741,564,P
12,91,1092,7.582999999999999,0.281,0.59,2.46,307,644,125,P
8,75,600,9.375,0.373,0.955,1.95,224,573,115,P
5,6,30,1.2,0.433,1.0,1.63,13,30,8,P
5,52,260,10.4,0.20800000000000002,0.542,1.35,54,141,40,P
8,12,96,1.5,0.44799999999999995,0.8959999999999999,2.05,43,86,21,P
9,47,423,5.222,0.49200000000000005,0.948,2.42,208,401,86,P
27,106,2862,3.926,0.261,0.478,5.45,747,1368,137,P
3,129,387,43.0,0.305,0.377,11.8,118,146,10,N
1,9,9,9.0,0.889,1.0,8.0,8,9,1,N
6,96,576,16.0,0.217,0.797,1.45,125,459,86,P
6,89,534,14.833,0.298,0.758,1.61,159,405,99,P
11,27,297,2.455,0.303,0.596,2.43,90,177,37,P
8,45,360,5.625,0.36700000000000005,0.7829999999999999,1.89,132,282,70,P
11,22,242,2.0,0.579,0.8059999999999999,7.78,140,195,18,P
1,104,104,104.0,0.192,1.0,1.05,20,104,19,P
30,61,1830,2.033,0.157,0.483,1.88,288,884,153,N
6,47,282,7.832999999999999,0.20199999999999999,0.20199999999999999,57.0,57,57,1,N
11,183,2013,16.636,0.48100000000000004,0.747,4.66,969,1503,208,P
6,94,564,15.667,0.287,0.713,2.45,162,402,66,P
7,33,231,4.7139999999999995,0.35100000000000003,0.987,1.53,81,228,53,P
8,272,2176,34.0,0.359,0.848,2.7,781,1846,289,P
9,44,396,4.888999999999999,0.46,0.937,2.84,182,371,64,P
7,31,217,4.428999999999999,0.396,0.862,2.1,86,187,41,P
7,51,357,7.2860000000000005,0.28300000000000003,0.91,1.35,101,325,75,P
83,149,12367,1.795,0.38799999999999996,0.47200000000000003,28.77,4804,5838,167,N
5,14,70,2.8,0.414,0.943,1.38,29,66,21,P
1,40,40,40.0,1.0,1.0,40.0,40,40,1,N
7,35,245,5.0,0.48200000000000004,0.841,2.81,118,206,42,P
10,67,670,6.7,0.321,0.81,2.29,215,543,94,P
12,409,4908,34.083,0.302,0.604,2.88,1482,2966,515,P
9,46,414,5.111000000000001,0.292,0.6759999999999999,1.92,121,280,63,P
19,123,2337,6.474,0.08900000000000001,0.08900000000000001,207.0,207,208,1,P
9,26,234,2.889,0.385,0.85,1.88,90,199,48,P
6,22,132,3.667,0.19699999999999998,1.0,2.89,26,132,9,P
8,245,1960,30.625,0.198,0.555,1.36,389,1088,286,P
5,39,195,7.8,0.49200000000000005,0.872,2.46,96,170,39,P
11,118,1298,10.727,0.29,0.7979999999999999,1.99,376,1036,189,P
8,29,232,3.625,0.384,0.884,2.07,89,205,43,P
8,44,352,5.5,0.455,0.9490000000000001,3.2,160,334,50,P
24,178,4272,7.417000000000001,0.483,0.9329999999999999,8.0,2063,3987,258,P
5,32,160,6.4,0.419,0.981,1.31,67,157,51,P
12,266,3192,22.166999999999998,0.33799999999999997,0.667,2.72,1079,2130,397,P
8,26,208,3.25,0.423,0.851,2.44,88,177,36,P
1,49,49,49.0,0.28600000000000003,1.0,7.0,14,49,2,P
10,73,730,7.3,0.273,0.79,1.84,199,577,108,P
9,20,180,2.222,0.294,0.578,1.51,53,104,35,P
9,160,1440,17.778,0.215,0.8,1.58,310,1152,196,P
10,67,670,6.7,0.29100000000000004,0.588,2.27,195,394,86,P
10,22,220,2.2,0.591,0.855,6.5,130,188,20,P
2,112,224,56.0,0.496,0.504,55.5,111,113,2,N
15,121,1815,8.067,0.428,0.7609999999999999,5.35,776,1381,145,P
10,261,2610,26.1,0.26899999999999996,0.713,1.81,701,1860,388,P
10,170,1700,17.0,0.261,0.7090000000000001,1.66,444,1206,268,P
8,54,432,6.75,0.188,0.78,1.53,81,337,53,P
34,25,850,0.735,0.256,0.534,2.06,218,454,106,N
8,93,744,11.625,0.324,0.835,1.99,241,621,121,P
10,32,320,3.2,0.33799999999999997,0.816,1.83,108,261,59,P
5,2,10,0.4,0.7,0.7,7.0,7,7,1,N
9,60,540,6.667000000000001,0.413,0.8220000000000001,2.75,223,444,81,P
8,16,128,2.0,0.516,1.0,2.54,66,128,26,P
23,137,3151,5.957000000000001,0.855,0.934,16.64,2695,2943,162,P
7,23,161,3.286,0.28,0.826,1.45,45,133,31,P
8,21,168,2.625,0.363,0.774,1.69,61,130,36,P
7,44,308,6.2860000000000005,0.16899999999999998,0.455,1.58,52,140,33,P
7,8,56,1.143,0.268,0.679,1.15,15,38,13,P
6,7,42,1.167,0.429,0.8809999999999999,3.6,18,37,5,P
5,7,35,1.4,0.6859999999999999,1.0,3.0,24,35,8,P
7,72,504,10.286,0.405,0.845,1.85,204,426,110,P
7,17,119,2.4290000000000003,0.22699999999999998,0.58,2.7,27,69,10,P
6,10,60,1.6669999999999998,0.33299999999999996,0.75,1.54,20,45,13,P
7,13,91,1.857,0.308,0.978,1.56,28,89,18,P
10,23,230,2.3,0.34299999999999997,0.7909999999999999,1.88,79,182,42,P
24,170,4080,7.082999999999999,0.924,0.997,15.9,3768,4068,237,P
9,122,1098,13.556,0.33299999999999996,0.8290000000000001,2.54,366,910,144,P
1,95,95,95.0,1.0,1.0,95.0,95,95,1,N
9,56,504,6.222,0.196,0.617,1.24,99,311,80,P
14,367,5138,26.214000000000002,0.349,0.5760000000000001,4.5,1791,2962,398,P
7,346,2422,49.428999999999995,0.16699999999999998,0.7070000000000001,1.19,404,1712,339,P
5,19,95,3.8,0.442,0.937,1.5,42,89,28,P
8,14,112,1.75,0.42,0.848,2.04,47,95,23,P
8,64,512,8.0,0.385,0.912,1.93,197,467,102,P
7,13,91,1.857,0.78,0.9890000000000001,7.89,71,90,9,P
8,43,344,5.375,0.34299999999999997,0.977,1.71,118,336,69,P
8,83,664,10.375,0.43700000000000006,0.866,2.52,290,575,115,P
10,36,360,3.6,0.319,0.8170000000000001,1.98,115,294,58,P
16,344,5504,21.5,0.385,0.662,5.2,2121,3643,408,P
8,33,264,4.125,0.314,0.705,2.13,83,186,39,P
1,86,86,86.0,0.93,1.0,40.0,80,86,2,N
12,84,1008,7.0,0.43,0.703,3.52,433,709,123,P
7,23,161,3.286,0.28,0.7829999999999999,1.29,45,126,35,P
14,395,5530,28.214000000000002,0.359,0.6579999999999999,4.7,1988,3636,423,P
187,141,26367,0.754,0.415,0.884,4.69,10947,23301,2333,N
10,271,2710,27.1,0.251,0.754,1.88,679,2044,362,P
8,12,96,1.5,0.42700000000000005,0.9059999999999999,2.16,41,87,19,P
6,96,576,16.0,0.27399999999999997,0.9009999999999999,1.58,158,519,100,P
5,75,375,15.0,0.26899999999999996,0.9790000000000001,1.22,101,367,83,P
9,49,441,5.444,0.265,0.653,1.36,117,288,86,P
10,43,430,4.3,0.45799999999999996,0.94,3.58,197,404,55,P
10,33,330,3.3,0.294,0.7909999999999999,1.83,97,261,53,P
11,152,1672,13.818,0.365,0.764,2.88,610,1278,212,P
7,96,672,13.714,0.271,0.688,1.54,182,462,118,P
49,79,3871,1.6119999999999999,0.084,0.179,7.36,324,694,44,N
7,156,1092,22.285999999999998,0.473,0.991,2.37,517,1082,218,P
8,26,208,3.25,0.264,0.62,1.45,55,129,38,P
9,78,702,8.667,0.46399999999999997,0.89,3.33,326,625,98,P
6,184,1104,30.666999999999998,0.272,0.6970000000000001,1.54,300,770,195,P
9,249,2241,27.666999999999998,0.34600000000000003,0.77,2.54,776,1725,306,P
7,213,1491,30.429000000000002,0.19899999999999998,0.733,1.25,296,1093,237,P
9,10,90,1.111,0.344,0.5329999999999999,3.88,31,48,8,P
6,8,48,1.3330000000000002,0.45799999999999996,0.7290000000000001,2.44,22,35,9,P
8,25,200,3.125,0.38,0.795,1.81,76,159,42,P
10,66,660,6.6,0.273,0.6609999999999999,1.94,180,436,93,P
11,50,550,4.545,0.255,0.56,1.89,140,308,74,P
16,337,5392,21.063000000000002,0.363,0.598,5.19,1956,3225,377,P
8,10,80,1.25,0.475,0.888,2.92,38,71,13,P
5,20,100,4.0,0.49,0.99,1.58,49,99,31,P
2,19,38,9.5,0.184,0.5529999999999999,3.5,7,21,2,P
8,18,144,2.25,0.389,0.9309999999999999,2.24,56,134,25,P
7,2,14,0.28600000000000003,0.643,0.7140000000000001,9.0,9,10,1,N
7,6,42,0.857,0.214,0.28600000000000003,9.0,9,12,1,P
7,30,210,4.2860000000000005,0.3,0.8859999999999999,1.43,63,186,44,P
1,45,45,45.0,0.2,1.0,1.13,9,45,8,P
9,69,621,7.667000000000001,0.34299999999999997,0.8759999999999999,1.75,213,544,122,P
29,61,1769,2.103,0.121,0.431,1.78,214,762,120,N
8,64,512,8.0,0.252,0.865,1.63,129,443,79,P
5,13,65,2.6,0.262,0.769,2.43,17,50,7,P
11,35,385,3.182,0.335,0.584,4.78,129,225,27,P
6,50,300,8.333,0.24,0.63,1.76,72,189,41,P
9,53,477,5.888999999999999,0.317,0.805,1.66,151,384,91,P
3,537,1611,179.0,0.345,0.405,22.24,556,652,25,N
9,47,423,5.222,0.385,0.917,2.51,163,388,65,P
9,14,126,1.556,0.127,0.937,1.78,16,118,9,P
7,4,28,0.5710000000000001,0.39299999999999996,1.0,2.2,11,28,5,P
7,80,560,11.429,0.5,0.848,3.54,280,475,79,P
6,90,540,15.0,0.298,0.77,1.55,161,416,104,P
6,83,498,13.833,0.32899999999999996,0.823,1.58,164,410,104,P
3,538,1614,179.33,0.37,0.424,22.11,597,685,27,N
13,375,4875,28.846,0.154,0.519,1.44,751,2531,521,P
10,12,120,1.2,0.36700000000000005,1.0,1.69,44,120,26,P
11,53,583,4.8180000000000005,0.225,0.485,3.45,131,283,38,P
1,71,71,71.0,0.521,1.0,2.31,37,71,16,N
9,151,1359,16.778,0.139,0.5489999999999999,1.17,189,746,162,P
7,18,126,2.571,0.16699999999999998,0.43700000000000006,2.63,21,55,8,P
10,15,150,1.5,0.273,0.9470000000000001,1.41,41,142,29,P
25,178,4450,7.12,0.475,0.873,7.95,2115,3885,266,P
9,4,36,0.444,0.444,1.0,8.0,16,36,2,P
7,8,56,1.143,0.268,0.768,1.07,15,43,14,P
1,26,26,26.0,1.0,1.0,26.0,26,26,1,N
9,42,378,4.667,0.384,0.8170000000000001,2.38,145,309,61,P
8,76,608,9.5,0.38799999999999996,0.903,2.11,236,549,112,P
7,10,70,1.429,0.3,0.7709999999999999,1.5,21,54,14,P
10,17,170,1.7,0.535,0.853,7.58,91,145,12,P
1,15,15,15.0,0.867,1.0,6.5,13,15,2,N
10,19,190,1.9,0.5529999999999999,0.805,7.5,105,153,14,P
10,35,350,3.5,0.326,0.583,2.24,114,204,51,P
