loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
76.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,False
45.0,8.0,8.0,3.0,203.0,1194.18,0.03,30.03,39.77,35858.47,0.4,1992.14,38,0,6,1,23,36,109,94,15,False
11.0,1.0,1.0,1.0,19.0,70.31,0.29,3.43,20.51,241.06,0.02,13.39,6,0,3,0,6,7,11,8,1,False
33.0,14.0,1.0,1.0,87.0,483.25,0.11,9.5,50.87,4590.87,0.16,255.05,31,0,0,0,19,28,59,28,15,False
145.0,10.0,4.0,6.0,382.0,2349.2,0.02,41.31,56.87,97048.2,0.78,5391.57,89,37,17,0,26,45,239,143,19,True
36.0,4.0,1.0,4.0,61.0,293.25,0.07,14.42,20.33,4229.55,0.1,234.97,21,8,5,0,15,13,36,25,7,False
8.0,2.0,1.0,2.0,26.0,106.27,0.14,7.31,14.53,777.13,0.04,43.17,5,0,1,0,9,8,13,13,3,False
5.0,1.0,1.0,1.0,12.0,41.51,0.25,4.0,10.38,166.05,0.01,9.23,3,0,0,0,8,3,9,3,1,False
61.0,7.0,1.0,7.0,165.0,865.91,0.05,20.13,43.03,17426.4,0.29,968.13,52,0,7,0,14,24,96,69,8,False
83.0,7.0,5.0,5.0,269.0,1695.72,0.04,24.32,69.74,41232.7,0.57,2290.71,62,5,9,7,22,57,143,126,13,False
65.0,9.0,4.0,5.0,108.0,524.66,0.05,18.67,28.11,9793.69,0.17,544.09,40,14,9,0,14,15,68,40,17,False
9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
26.0,16.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,31,False
17.0,2.0,1.0,2.0,53.0,252.01,0.07,14.55,17.33,3665.59,0.08,203.64,15,0,2,0,16,11,33,20,3,False
5.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,0,2,0,1,False
13.0,2.0,1.0,1.0,42.0,189.99,0.14,7.31,26.0,1388.39,0.06,77.13,8,0,3,0,10,13,23,19,3,False
9.0,2.0,1.0,2.0,17.0,62.91,0.21,4.67,13.48,293.57,0.02,16.3,7,0,0,0,7,6,9,8,3,False
37.0,6.0,1.0,3.0,64.0,285.4,0.11,9.5,30.04,2711.33,0.1,150.63,33,0,2,0,11,11,45,19,11,False
58.0,5.0,1.0,1.0,46.0,184.0,0.08,13.33,13.8,2453.33,0.06,136.3,21,2,33,0,10,6,30,16,9,False
7.0,2.0,1.0,2.0,34.0,144.43,0.14,7.22,20.0,1043.09,0.05,57.95,4,0,1,0,10,9,21,13,3,False
91.0,7.0,1.0,4.0,95.0,494.9,0.09,11.38,43.51,5629.47,0.16,312.75,21,13,49,1,13,24,53,42,13,True
22.0,3.0,1.0,3.0,64.0,317.07,0.1,10.31,30.75,3269.77,0.11,181.65,16,0,4,0,15,16,42,22,5,False
15.0,1.0,1.0,1.0,25.0,100.0,0.28,3.6,27.78,360.0,0.03,20.0,7,3,3,0,6,10,13,12,1,False
4.0,1.0,1.0,1.0,6.0,15.51,0.4,2.5,6.2,38.77,0.01,2.15,2,0,0,0,5,1,5,1,1,False
11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
5.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,1,0,3,1,3,1,1,False
28.0,4.0,1.0,3.0,61.0,263.64,0.09,11.5,22.93,3031.83,0.09,168.44,19,4,3,0,10,10,38,23,7,False
48.0,5.0,1.0,5.0,126.0,624.23,0.03,29.75,20.98,18570.8,0.21,1031.71,26,0,17,0,17,14,77,49,9,False
26.0,7.0,7.0,2.0,53.0,252.01,0.05,20.0,12.6,5040.18,0.08,280.01,15,6,3,0,18,9,33,20,13,False
69.0,3.0,1.0,3.0,300.0,1772.07,0.05,19.93,88.89,35325.77,0.59,1962.54,55,0,12,0,14,46,169,131,5,False
41.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,37,False
24.0,19.0,19.0,19.0,160.0,769.18,0.05,19.74,38.97,15179.93,0.26,843.33,21,0,1,0,11,17,99,61,37,False
15.0,3.0,1.0,3.0,41.0,187.98,0.12,8.03,23.39,1511.1,0.06,83.95,12,0,1,0,11,13,22,19,5,False
4.0,1.0,1.0,1.0,7.0,19.65,0.33,3.0,6.55,58.95,0.01,3.28,2,0,0,0,6,1,6,1,1,False
9.0,3.0,3.0,2.0,24.0,101.95,0.13,7.71,13.22,786.47,0.03,43.69,6,0,1,0,12,7,15,9,5,True
25.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,True
27.0,8.0,7.0,1.0,204.0,1085.67,0.03,30.0,36.19,32570.2,0.36,1809.46,23,0,2,0,20,20,144,60,15,True
45.0,1.0,1.0,1.0,150.0,837.74,0.14,7.3,114.76,6115.53,0.28,339.75,34,1,8,0,8,40,77,73,1,False
15.0,1.0,1.0,1.0,32.0,135.93,0.29,3.46,39.27,470.54,0.05,26.14,11,0,2,0,6,13,17,15,1,True
8.0,1.0,1.0,1.0,15.0,53.77,0.24,4.2,12.8,225.85,0.02,12.55,4,0,2,0,7,5,9,6,1,False
68.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,False
17.0,5.0,3.0,3.0,30.0,129.66,0.12,8.25,15.72,1069.68,0.04,59.43,10,0,1,0,12,8,19,11,9,False
26.0,4.0,1.0,4.0,65.0,309.07,0.06,17.5,17.66,5408.68,0.1,300.48,16,6,2,0,15,12,37,28,7,False
282.0,1.0,1.0,1.0,885.0,6214.8,0.04,25.7,241.86,159693.22,2.07,8871.85,164,67,49,0,15,115,491,394,1,False
5.0,1.0,1.0,1.0,10.0,33.22,0.29,3.5,9.49,116.27,0.01,6.46,2,0,1,0,7,3,7,3,1,False
97.0,33.0,30.0,11.0,462.0,2424.54,0.01,113.47,21.37,275104.76,0.81,15283.6,53,31,10,0,23,15,314,148,65,True
25.0,5.0,1.0,4.0,81.0,408.6,0.06,15.42,26.5,6299.19,0.14,349.95,22,0,1,0,15,18,44,37,9,False
33.0,8.0,8.0,4.0,115.0,599.09,0.06,17.85,33.56,10693.71,0.2,594.09,22,4,3,0,17,20,79,42,15,False
32.0,5.0,1.0,3.0,102.0,535.29,0.05,20.7,25.86,11080.47,0.18,615.58,21,7,4,0,18,20,56,46,9,False
8.0,3.0,1.0,2.0,28.0,116.76,0.09,11.7,9.98,1366.07,0.04,75.89,6,0,0,0,13,5,19,9,5,False
21.0,2.0,1.0,2.0,57.0,242.13,0.07,15.0,16.14,3631.98,0.08,201.78,11,3,4,0,10,9,30,27,3,False
19.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
38.0,3.0,1.0,3.0,102.0,539.11,0.09,11.75,45.88,6334.55,0.18,351.92,27,6,5,0,13,26,55,47,5,True
13.0,5.0,5.0,2.0,50.0,229.25,0.05,21.86,10.49,5010.71,0.08,278.37,12,0,1,0,17,7,32,18,9,False
169.0,21.0,1.0,13.0,534.0,3413.5,0.02,50.5,67.59,172381.62,1.14,9576.76,139,2,24,1,28,56,332,202,37,True
150.0,20.0,16.0,16.0,382.0,2428.58,0.03,34.76,69.87,84414.26,0.81,4689.68,103,25,19,0,24,58,214,168,39,False
18.0,2.0,1.0,2.0,27.0,108.0,0.22,4.5,24.0,486.0,0.04,27.0,10,2,4,0,8,8,18,9,3,False
11.0,1.0,1.0,1.0,45.0,197.65,0.11,8.8,22.46,1739.36,0.07,96.63,6,0,3,0,11,10,29,16,1,False
67.0,19.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,37,False
7.0,1.0,1.0,1.0,6.0,15.51,0.67,1.5,10.34,23.26,0.01,1.29,3,0,2,0,3,3,3,3,1,True
33.0,2.0,1.0,1.0,17.0,60.94,0.17,6.0,10.16,365.67,0.02,20.31,9,0,22,0,8,4,11,6,3,False
29.0,3.0,1.0,3.0,88.0,465.12,0.08,12.04,38.63,5599.99,0.16,311.11,21,0,6,0,14,25,45,43,5,True
7.0,1.0,1.0,1.0,23.0,72.91,0.2,5.0,14.58,364.54,0.02,20.25,5,0,0,0,5,4,15,8,1,False
7.0,2.0,1.0,2.0,25.0,102.19,0.26,3.85,26.54,393.42,0.03,21.86,5,0,0,0,7,10,14,11,3,False
34.0,5.0,1.0,4.0,79.0,428.67,0.11,8.84,48.5,3789.18,0.14,210.51,25,1,6,0,15,28,46,33,6,False
22.0,5.0,5.0,3.0,57.0,261.33,0.08,13.0,20.1,3397.46,0.09,188.75,17,0,3,0,12,12,31,26,9,False
105.0,31.0,22.0,19.0,324.0,2011.86,0.04,25.37,79.3,51041.71,0.67,2835.65,73,12,14,6,20,54,187,137,61,False
41.0,4.0,3.0,2.0,92.0,468.05,0.06,15.79,29.64,7390.21,0.16,410.57,27,4,7,1,15,19,52,40,7,False
55.0,30.0,29.0,12.0,295.0,1673.37,0.03,36.13,46.32,60457.08,0.56,3358.73,40,7,5,0,20,31,183,112,59,False
25.0,5.0,1.0,4.0,89.0,445.0,0.06,16.76,26.54,7460.29,0.15,414.46,22,0,3,0,15,17,51,38,9,False
21.0,2.0,1.0,2.0,69.0,353.92,0.1,9.67,36.61,3421.23,0.12,190.07,16,1,2,0,14,21,40,29,3,False
42.0,2.0,1.0,2.0,88.0,435.97,0.14,6.96,62.67,3032.83,0.15,168.49,26,8,6,0,8,23,48,40,3,False
14.0,4.0,3.0,2.0,40.0,169.92,0.09,10.83,15.68,1840.77,0.06,102.26,10,0,2,0,13,6,30,10,7,False
32.0,6.0,6.0,3.0,93.0,484.48,0.05,18.95,25.57,9179.61,0.16,509.98,24,0,6,0,18,19,53,40,11,True
14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
35.0,6.0,1.0,4.0,119.0,645.73,0.06,17.64,36.61,11390.6,0.22,632.81,32,0,1,0,18,25,70,49,11,True
40.0,6.0,6.0,3.0,153.0,791.0,0.03,29.62,26.71,23427.52,0.26,1301.53,32,0,4,0,19,17,100,53,11,False
8.0,3.0,1.0,3.0,23.0,87.57,0.15,6.67,13.14,583.79,0.03,32.43,5,0,1,0,8,6,13,10,5,False
62.0,9.0,6.0,4.0,158.0,835.09,0.04,22.61,36.94,18880.38,0.28,1048.91,42,11,7,2,16,23,93,65,17,False
10.0,4.0,1.0,2.0,24.0,100.08,0.12,8.64,11.58,864.96,0.03,48.05,7,0,1,0,11,7,13,11,7,False
24.0,6.0,5.0,4.0,80.0,380.39,0.07,14.86,25.6,5651.52,0.13,313.97,10,9,3,0,13,14,48,32,11,False
126.0,32.0,31.0,5.0,337.0,1948.32,0.02,59.62,32.68,116160.08,0.65,6453.34,115,1,6,1,26,29,204,133,63,True
42.0,1.0,1.0,1.0,291.0,1752.51,0.21,4.75,368.63,8331.6,0.58,462.87,38,1,1,0,4,61,146,145,1,False
33.0,3.0,1.0,3.0,115.0,624.02,0.06,16.92,36.88,10558.43,0.21,586.58,23,3,3,0,18,25,68,47,5,False
7.0,1.0,1.0,1.0,27.0,112.59,0.23,4.4,25.59,495.39,0.04,27.52,4,0,1,0,8,10,16,11,1,False
34.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,True
32.0,3.0,1.0,2.0,89.0,463.64,0.08,12.61,36.76,5848.2,0.15,324.9,18,7,4,0,15,22,52,37,5,False
6.0,1.0,1.0,1.0,13.0,36.5,0.44,2.25,16.21,82.12,0.01,4.56,4,0,0,0,3,4,7,6,1,False
88.0,8.0,1.0,8.0,261.0,1566.0,0.05,20.44,76.63,32003.04,0.52,1777.95,65,3,18,0,17,47,148,113,15,False
11.0,2.0,1.0,2.0,34.0,149.34,0.27,3.75,39.82,560.02,0.05,31.11,11,0,0,0,7,14,19,15,3,False
26.0,4.0,1.0,4.0,74.0,366.61,0.08,13.33,27.5,4888.14,0.12,271.56,20,0,4,0,16,15,49,25,6,False
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3,2,3,2,1,False
163.0,19.0,16.0,6.0,258.0,1353.97,0.02,52.5,25.79,71083.18,0.45,3949.07,70,39,40,12,19,19,153,105,37,False
122.0,41.0,22.0,1.0,391.0,2066.59,0.01,90.18,22.92,186362.34,0.69,10353.46,118,0,1,0,25,14,290,101,67,True
25.0,3.0,1.0,3.0,68.0,333.67,0.13,7.75,43.05,2585.93,0.11,143.66,18,0,3,2,10,20,37,31,5,False
12.0,3.0,1.0,3.0,17.0,62.91,0.29,3.5,17.97,220.18,0.02,12.23,8,0,1,1,7,6,11,6,5,False
39.0,2.0,1.0,2.0,99.0,533.84,0.18,5.65,94.53,3014.62,0.18,167.48,31,0,6,0,8,34,51,48,3,False
25.0,5.0,1.0,3.0,39.0,171.3,0.12,8.67,19.77,1484.6,0.06,82.48,13,1,9,0,12,9,26,13,9,True
21.0,7.0,5.0,4.0,102.0,514.53,0.04,25.11,20.49,12918.33,0.17,717.69,13,2,3,1,19,14,65,37,13,False
28.0,2.0,1.0,2.0,75.0,339.27,0.07,15.27,22.21,5181.53,0.11,287.86,17,8,1,0,12,11,47,28,3,True
238.0,16.0,16.0,16.0,380.0,2166.17,0.03,34.26,63.23,74205.86,0.72,4122.55,147,51,37,0,15,37,211,169,31,False
17.0,2.0,1.0,2.0,26.0,96.21,0.29,3.44,27.99,330.73,0.03,18.37,12,0,3,0,5,8,15,11,3,False
10.0,3.0,1.0,3.0,41.0,187.98,0.13,7.5,25.06,1409.88,0.06,78.33,6,0,2,0,12,12,26,15,5,False
4.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,0,0,4,4,5,4,1,False
32.0,7.0,3.0,7.0,140.0,745.07,0.06,16.2,45.99,12070.13,0.25,670.56,21,0,9,0,15,25,86,54,13,False
4.0,1.0,1.0,1.0,19.0,76.0,0.2,5.0,15.2,380.0,0.03,21.11,2,0,0,0,10,6,13,6,1,False
5.0,1.0,1.0,1.0,14.0,50.19,0.29,3.5,14.34,175.66,0.02,9.76,3,0,0,0,7,5,9,5,1,False
22.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,False
47.0,2.0,1.0,2.0,199.0,860.06,0.01,75.83,11.34,65221.5,0.29,3623.42,32,3,9,0,14,6,134,65,3,False
22.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,False
54.0,7.0,1.0,6.0,125.0,678.28,0.05,20.87,32.5,14155.47,0.23,786.42,40,2,9,1,20,23,77,48,12,False
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3,2,3,2,1,False
30.0,4.0,1.0,3.0,83.0,380.55,0.06,16.07,23.67,6118.1,0.13,339.89,25,0,3,0,11,13,45,38,7,False
7.0,3.0,1.0,1.0,21.0,77.71,0.09,11.67,6.66,906.61,0.03,50.37,5,0,0,0,10,3,14,7,5,False
37.0,3.0,1.0,3.0,67.0,331.93,0.1,9.75,34.04,3236.33,0.11,179.8,16,13,6,0,13,18,40,27,5,False
12.0,3.0,1.0,1.0,26.0,104.0,0.12,8.33,12.48,866.67,0.03,48.15,8,0,2,0,10,6,16,10,5,False
76.0,10.0,8.0,5.0,212.0,1236.57,0.04,26.83,46.08,33181.37,0.41,1843.41,58,0,16,0,21,36,120,92,19,True
5.0,1.0,1.0,1.0,8.0,24.0,0.33,3.0,8.0,72.0,0.01,4.0,2,0,0,0,6,2,6,2,1,False
27.0,4.0,1.0,4.0,102.0,510.0,0.05,19.0,26.84,9690.0,0.17,538.33,13,8,3,0,16,16,64,38,7,False
46.0,5.0,1.0,5.0,106.0,571.59,0.08,12.62,45.31,7210.77,0.19,400.6,34,2,7,0,16,26,65,41,9,False
11.0,2.0,1.0,1.0,13.0,39.0,0.4,2.5,15.6,97.5,0.01,5.42,9,0,0,0,5,3,10,3,3,False
57.0,1.0,1.0,1.0,208.0,1213.24,0.09,11.06,109.66,13423.09,0.4,745.73,30,4,12,9,10,47,104,104,1,False
27.0,5.0,3.0,4.0,78.0,382.74,0.08,11.85,32.29,4536.56,0.13,252.03,23,0,2,0,13,17,47,31,9,True
19.0,5.0,3.0,3.0,34.0,149.34,0.1,9.75,15.32,1456.05,0.05,80.89,11,0,2,0,13,8,22,12,9,False
61.0,3.0,1.0,2.0,38.0,155.32,0.11,9.29,16.73,1442.29,0.05,80.13,16,7,36,0,10,7,25,13,5,False
4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3,2,3,2,1,False
29.0,4.0,1.0,4.0,55.0,233.64,0.07,15.13,15.45,3533.74,0.08,196.32,16,9,2,0,11,8,33,22,5,False
19.0,6.0,3.0,2.0,61.0,302.21,0.08,11.94,25.31,3608.69,0.1,200.48,17,0,2,0,14,17,32,29,11,False
11.0,2.0,1.0,1.0,25.0,95.18,0.19,5.4,17.63,513.99,0.03,28.56,6,0,1,1,9,5,19,6,3,False
17.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,False
32.0,8.0,8.0,7.0,72.0,334.36,0.09,11.0,30.4,3677.93,0.11,204.33,18,8,3,0,11,14,44,28,15,False
14.0,1.0,1.0,1.0,43.0,194.51,0.19,5.14,37.82,1000.35,0.06,55.58,9,0,3,0,9,14,27,16,1,False
18.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
715.0,71.0,14.0,10.0,3072.0,19741.49,0.0,418.2,47.21,8255889.43,6.58,458660.51,499,60,154,0,41,45,2154,918,133,False
32.0,4.0,1.0,1.0,82.0,360.17,0.06,16.36,22.01,5893.69,0.12,327.43,22,1,7,0,10,11,46,36,7,False
27.0,3.0,1.0,3.0,86.0,451.32,0.06,16.65,27.11,7514.51,0.15,417.47,20,0,3,0,18,20,49,37,5,False
49.0,2.0,1.0,1.0,252.0,1198.23,0.02,51.88,23.1,62158.27,0.4,3453.24,41,2,4,0,15,12,169,83,3,True
18.0,2.0,1.0,2.0,50.0,240.37,0.25,4.0,60.09,961.47,0.08,53.42,12,1,3,0,7,21,26,24,3,False
79.0,6.0,1.0,6.0,259.0,1554.0,0.05,19.71,78.83,30633.64,0.52,1701.87,70,1,6,0,17,47,150,109,10,False
58.0,6.0,4.0,5.0,229.0,1335.73,0.05,18.57,71.92,24806.45,0.45,1378.14,50,6,2,0,15,42,125,104,11,False
31.0,6.0,5.0,1.0,68.0,311.78,0.05,20.0,15.59,6235.55,0.1,346.42,20,6,3,0,15,9,44,24,11,False
4.0,1.0,1.0,1.0,9.0,27.0,0.33,3.0,9.0,81.0,0.01,4.5,2,0,0,0,6,2,7,2,1,False
41.0,4.0,1.0,3.0,174.0,919.66,0.05,21.0,43.79,19312.86,0.31,1072.94,31,2,5,0,13,26,90,84,7,False
14.0,1.0,1.0,1.0,40.0,169.92,0.24,4.15,40.91,705.81,0.06,39.21,9,0,3,0,6,13,22,18,1,False
18.0,5.0,1.0,2.0,55.0,233.64,0.06,15.81,14.78,3694.37,0.08,205.24,12,0,3,0,11,8,32,23,9,False
4.0,1.0,1.0,1.0,8.0,24.0,0.4,2.5,9.6,60.0,0.01,3.33,2,0,0,0,5,3,5,3,1,False
5.0,1.0,1.0,1.0,15.0,51.89,0.34,2.92,17.79,151.35,0.02,8.41,3,0,0,0,5,6,8,7,1,False
18.0,5.0,1.0,5.0,119.0,624.5,0.1,10.19,61.31,6360.68,0.21,353.37,12,2,2,0,11,27,69,50,9,False
24.0,4.0,1.0,2.0,48.0,225.62,0.13,7.71,29.25,1740.51,0.08,96.69,19,0,2,0,12,14,30,18,5,False
36.0,4.0,1.0,4.0,106.0,552.2,0.07,14.61,37.8,8066.95,0.18,448.16,27,3,4,0,14,23,58,48,7,False
143.0,16.0,7.0,14.0,492.0,3045.39,0.03,34.33,88.72,104538.99,1.02,5807.72,102,12,18,8,21,52,322,170,31,False
4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3,1,3,1,1,False
13.0,3.0,3.0,2.0,29.0,123.19,0.17,5.85,21.06,720.66,0.04,40.04,11,0,0,0,9,10,16,13,5,False
19.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,False
19.0,2.0,1.0,2.0,43.0,188.87,0.12,8.64,21.87,1631.15,0.06,90.62,9,1,4,0,10,11,24,19,3,True
4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0,4,3,4,3,1,False
46.0,9.0,7.0,1.0,129.0,566.61,0.03,36.0,15.74,20397.92,0.19,1133.22,29,8,3,4,12,9,75,54,17,False
42.0,6.0,1.0,1.0,158.0,797.01,0.03,36.66,21.74,29215.55,0.27,1623.09,27,5,5,0,17,16,89,69,11,False
84.0,15.0,10.0,5.0,227.0,1260.89,0.03,30.88,40.84,38930.03,0.42,2162.78,67,9,3,0,19,28,136,91,29,False
56.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,False
7.0,1.0,1.0,1.0,16.0,55.35,0.34,2.92,18.98,161.44,0.02,8.97,4,0,1,0,5,6,9,7,1,False
