Player,Number_seasons,Games_played,At_bats,Runs,Hits,Doubles,Triples,Home_runs,RBIs,Walks,Strikeouts,Batting_average,On_base_pct,Slugging_pct,Fielding_ave,Position,class
BRIAN_DOWNING,20,2344,7853,1188,2099,360,28,275,1073,1197,1127,0.267,0.373,0.425,0.995,Designated_hitter,0
CHIPPY_McGARR,10,826,3253,537,872,116,28,9,294,183,157,0.268,0.31,0.32899999999999996,0.903,Third_base,0
BILL_DICKEY,17,1789,6300,930,1969,343,72,202,1209,678,289,0.313,0.382,0.486,0.988,Catcher,1
MIKE_HEGAN,12,965,2080,281,504,73,18,53,229,311,489,0.242,0.34299999999999997,0.371,0.995,First_base,0
LARRY_McLEAN,13,862,2647,183,694,90,26,6,298,136,79,0.262,0.3,0.32299999999999995,0.973,Catcher,0
DANE_IORG,10,743,1647,149,455,103,11,14,216,107,180,0.276,0.321,0.37799999999999995,0.977,Outfield,0
LARRY_WOODALL,10,548,1317,161,353,52,15,1,161,159,67,0.268,0.34700000000000003,0.33299999999999996,0.9840000000000001,Catcher,0
SHERM_LOLLAR,18,1752,5351,623,1415,244,14,155,808,671,453,0.264,0.359,0.402,0.992,Catcher,0
GENE_MICHAEL,10,973,2806,249,642,86,12,15,226,234,421,0.22899999999999998,0.29,0.284,0.9620000000000001,Shortstop,0
PATSY_TEBEAU,13,1167,4618,671,1291,196,57,27,735,319,198,0.28,0.332,0.364,0.9840000000000001,First_base,0
AL_TODD,11,863,2785,286,768,119,29,35,366,104,243,0.276,0.307,0.377,0.977,Catcher,0
BOB_SKINNER,12,1381,4318,642,1198,197,58,103,531,485,646,0.27699999999999997,0.353,0.42100000000000004,0.9690000000000001,Outfield,0
MILT_STOCK,14,1628,6249,839,1806,270,58,22,696,455,321,0.289,0.33899999999999997,0.361,0.945,Third_base,0
FLOYD_BAKER,13,874,2280,285,573,76,13,1,196,382,165,0.251,0.36,0.297,0.971,Third_base,0
EDDIE_MILLER,14,1510,5337,539,1270,263,28,97,640,351,465,0.23800000000000002,0.29,0.35200000000000004,0.972,Shortstop,0
JEFF_HEATH,14,1383,4937,777,1447,279,102,194,887,593,670,0.293,0.37,0.509,0.972,Outfield,0
CURT_WELCH,10,1107,4385,915,1152,215,66,16,186,381,93,0.263,0.345,0.353,0.9329999999999999,Outfield,0
SAMMY_STRANG,10,903,2933,479,790,112,28,16,253,464,6,0.26899999999999996,0.376,0.34299999999999997,0.8909999999999999,Third_base,0
JOHN_SHELBY,11,1036,3090,389,739,128,24,70,313,182,671,0.239,0.282,0.364,0.982,Outfield,0
WHITEY_WITT,10,1139,4171,632,1195,144,62,18,302,489,309,0.287,0.36200000000000004,0.364,0.971,Outfield,0
DWIGHT_EVANS,20,2606,8996,1470,2446,483,73,385,1384,1391,1697,0.272,0.373,0.47,0.987,Outfield,0
DON_ZIMMER,12,1095,3283,353,773,130,22,91,352,246,678,0.235,0.29100000000000004,0.37200000000000005,0.941,Third_base,0
VAL_PICINICH,18,1037,2877,298,743,166,26,26,298,314,382,0.258,0.33399999999999996,0.361,0.97,Catcher,0
AL_EVANS,12,704,2053,188,514,70,23,13,211,243,206,0.25,0.332,0.326,0.9790000000000001,Catcher,0
ROY_SIEVERS,17,1887,6387,945,1703,292,42,318,1147,841,920,0.267,0.35700000000000004,0.475,0.991,First_base,0
MIKE_VAIL,10,665,1604,146,447,71,11,34,219,81,317,0.27899999999999997,0.315,0.4,0.968,Outfield,0
HENRY_LARKIN,10,1184,4718,925,1430,259,114,53,549,484,141,0.303,0.38,0.44,0.971,First_base,0
BOB_LILLIS,10,817,2328,198,549,68,9,3,137,99,116,0.23600000000000002,0.271,0.27699999999999997,0.9590000000000001,Shortstop,0
ED_ROMERO,12,730,1912,218,473,79,1,8,155,140,159,0.247,0.3,0.302,0.958,Shortstop,0
JOE_MEDWICK,17,1984,7635,1198,2471,540,113,205,1383,437,551,0.324,0.36200000000000004,0.505,0.98,Outfield,1
DOGGIE_MILLER,13,1317,5167,839,1380,192,57,33,518,467,129,0.267,0.33299999999999996,0.345,0.9179999999999999,Catcher,0
JESSE_BARFIELD,12,1428,4759,715,1219,216,30,241,716,551,1234,0.256,0.33799999999999997,0.466,0.98,Outfield,0
JOE_DeMAESTRI,11,1121,3441,322,813,114,23,49,281,168,511,0.23600000000000002,0.275,0.325,0.9670000000000001,Shortstop,0
CARMEN_CASTILLO,10,631,1519,190,383,71,8,55,197,90,291,0.252,0.3,0.418,0.953,Outfield,0
DUANE_KUIPER,12,1057,3379,329,917,91,29,1,263,248,255,0.271,0.326,0.316,0.983,Second_base,0
BUDDY_ROSAR,13,988,3198,335,836,147,15,18,367,315,161,0.261,0.33,0.33399999999999996,0.992,Catcher,0
KEN_BERRY,14,1383,4136,422,1053,150,23,58,343,298,569,0.255,0.309,0.344,0.9890000000000001,Outfield,0
JERRY_PRIDDY,11,1296,4720,612,1252,232,46,61,541,624,639,0.265,0.353,0.373,0.973,Second_base,0
PINCH_THOMAS,10,481,1035,88,245,27,8,2,102,118,82,0.237,0.318,0.284,0.973,Catcher,0
RAY_SCHALK,18,1762,5306,579,1345,199,49,11,594,638,355,0.253,0.34,0.316,0.981,Catcher,2
RANDY_HUNDLEY,14,1061,3442,311,813,118,13,82,381,271,565,0.23600000000000002,0.294,0.35,0.99,Catcher,0
RED_KRESS,14,1391,5087,691,1454,298,58,89,799,474,453,0.28600000000000003,0.34700000000000003,0.42,0.9440000000000001,Shortstop,0
GARRY_TEMPLETON,16,2079,7721,893,2096,329,106,70,728,375,1092,0.271,0.306,0.369,0.961,Shortstop,0
CHARLEY_JONES,11,881,3687,728,1101,170,98,56,219,237,124,0.299,0.34700000000000003,0.44299999999999995,0.882,Outfield,0
LEE_TANNEHILL,10,1090,3778,331,833,135,27,3,346,229,?,0.22,0.26899999999999996,0.273,0.938,Third_base,0
GROVER_HARTLEY,14,569,1319,135,353,60,11,3,144,127,97,0.268,0.33899999999999997,0.337,0.968,Catcher,0
LLOYD_MOSEBY,12,1588,5815,869,1494,273,66,169,737,616,1135,0.257,0.33399999999999996,0.414,0.9840000000000001,Outfield,0
FRANKIE_FRISCH,19,2311,9112,1532,2880,466,138,105,1244,728,272,0.316,0.369,0.43200000000000005,0.9740000000000001,Second_base,1
ADAM_COMOROSKY,10,813,2787,404,795,134,51,28,417,214,158,0.285,0.33899999999999997,0.4,0.972,Outfield,0
JAKE_BECKLEY,20,2386,9526,1600,2930,473,243,86,1575,616,270,0.308,0.361,0.435,0.981,First_base,2
FRANK_BOWERMAN,15,1045,3401,343,852,102,38,13,392,129,0,0.251,0.28600000000000003,0.314,0.963,Catcher,0
MICKEY_COCHRANE,13,1482,5169,1041,1652,333,64,119,832,857,217,0.32,0.419,0.478,0.985,Catcher,1
JIM_BOTTOMLEY,16,1991,7471,1177,2313,465,151,219,1422,664,591,0.31,0.369,0.5,0.988,First_base,2
SAM_CHAPMAN,11,1368,4988,754,1329,210,52,180,773,562,682,0.266,0.342,0.43799999999999994,0.972,Outfield,0
CON_DAILY,13,630,2222,280,541,74,22,2,262,208,208,0.243,0.314,0.299,0.912,Catcher,0
CARNEY_LANSFORD,15,1862,7158,1007,2074,332,40,151,874,553,719,0.29,0.34600000000000003,0.41100000000000003,0.966,Third_base,0
WALTER_SCHMIDT,10,766,2411,216,619,63,20,3,234,137,105,0.257,0.301,0.303,0.98,Catcher,0
RICK_AUERBACH,11,624,1407,167,309,56,5,9,86,127,198,0.22,0.287,0.28600000000000003,0.96,Shortstop,0
JOE_SUGDEN,13,835,2726,303,696,72,25,3,283,220,34,0.255,0.318,0.303,0.9570000000000001,Catcher,0
FRED_MERKLE,16,1638,5782,720,1580,290,82,60,733,454,583,0.273,0.331,0.38299999999999995,0.985,First_base,0
ELMER_SMITH,10,1012,3195,469,881,181,62,70,541,319,359,0.276,0.344,0.43700000000000006,0.9570000000000001,Outfield,0
HANK_GREENBERG,13,1394,5193,1051,1628,379,71,331,1276,852,844,0.313,0.41200000000000003,0.605,0.991,First_base,1
JOHNNY_BERARDINO,11,912,3028,334,755,167,23,36,387,284,268,0.249,0.316,0.355,0.968,Second_base,0
MAX_BISHOP,12,1338,4494,966,1216,236,35,41,379,1153,452,0.271,0.423,0.366,0.976,Second_base,0
DANNY_LITWHILER,11,1057,3494,428,982,162,32,107,451,299,377,0.281,0.342,0.43799999999999994,0.982,Outfield,0
SHAD_BARRY,10,1100,4014,516,1073,128,47,10,391,279,?,0.267,0.32,0.33,0.955,Outfield,0
BILLY_SULLIVAN.JR.,12,962,2840,347,820,152,32,29,388,240,119,0.289,0.34600000000000003,0.395,0.972,Catcher,0
TOMMY_DOWD,10,1320,5511,903,1492,163,88,24,501,369,200,0.271,0.319,0.345,0.9329999999999999,Outfield,0
DARRELL_PORTER,17,1782,5539,765,1369,237,48,188,826,905,1025,0.247,0.35700000000000004,0.409,0.982,Catcher,0
CHICK_FEWSTER,11,644,1963,282,506,91,12,6,167,240,264,0.258,0.34600000000000003,0.326,0.945,Second_base,0
BARRY_BONNELL,10,976,3068,363,833,143,24,56,355,229,387,0.272,0.325,0.389,0.982,Outfield,0
ERNIE_BANKS,19,2528,9421,1305,2583,407,90,512,1636,763,1236,0.27399999999999997,0.33299999999999996,0.5,0.9940000000000001,First_base,1
JOHNNY_EVERS,18,1784,6137,919,1659,216,70,12,538,778,142,0.27,0.35600000000000004,0.33399999999999996,0.955,Second_base,2
FRANK_OROURKE,14,1131,4069,547,1032,196,42,15,430,314,377,0.254,0.315,0.33299999999999996,0.9490000000000001,Third_base,0
RICO_CARTY,15,1651,5606,712,1677,278,17,204,890,642,663,0.299,0.37200000000000005,0.46399999999999997,0.97,Outfield,0
LEO_CARDENAS,16,1941,6707,662,1725,285,49,118,689,522,1135,0.257,0.313,0.36700000000000005,0.971,Shortstop,0
BOBBY_TOLAN,13,1282,4238,572,1121,173,34,86,497,258,587,0.265,0.317,0.382,0.976,Outfield,0
SAM_MERTES,10,1190,4405,695,1227,188,108,40,721,422,10,0.27899999999999997,0.34600000000000003,0.39799999999999996,0.938,Outfield,0
WALKER_COOPER,18,1473,4702,573,1341,240,40,173,812,309,357,0.285,0.332,0.46399999999999997,0.977,Catcher,0
JOHN_McGRAW,16,1099,3924,1024,1309,121,70,13,462,836,74,0.33399999999999996,0.465,0.41,0.9,Third_base,0
BILL_KILLEFER,13,1035,3150,237,751,86,21,4,240,113,126,0.23800000000000002,0.273,0.28300000000000003,0.976,Catcher,0
MILT_MAY,15,1192,3693,313,971,147,11,77,443,305,361,0.263,0.321,0.371,0.986,Catcher,0
GENE_ALLEY,11,1195,3927,442,999,140,44,55,342,300,622,0.254,0.312,0.354,0.97,Shortstop,0
CLAUDE_RITCHEY,13,1671,5919,708,1618,215,68,18,673,607,?,0.273,0.348,0.342,0.9570000000000001,Second_base,0
PHIL_CAVARRETTA,22,2030,6754,990,1977,347,99,95,920,820,598,0.293,0.37200000000000005,0.41600000000000004,0.99,First_base,0
LOU_BIERBAUER,13,1383,5706,819,1521,208,95,33,706,268,129,0.267,0.301,0.354,0.935,Second_base,0
AL_KALINE,22,2834,10116,1622,3007,498,75,399,1583,1277,1020,0.297,0.379,0.48,0.986,Outfield,1
STEVE_BRAUN,15,1425,3650,466,989,155,19,52,388,579,433,0.271,0.373,0.36700000000000005,0.973,Outfield,0
RICK_FERRELL,18,1884,6028,687,1692,324,45,28,734,931,277,0.281,0.37799999999999995,0.363,0.9840000000000001,Catcher,2
KIKO_GARCIA,10,619,1470,162,351,56,16,12,112,95,285,0.239,0.287,0.32299999999999995,0.961,Shortstop,0
FRENCHY_BORDAGARAY,11,930,2632,410,745,120,28,14,270,173,186,0.28300000000000003,0.331,0.366,0.982,Outfield,0
DOUG_RADER,11,1465,5186,631,1302,245,39,155,722,528,1055,0.251,0.325,0.40299999999999997,0.956,Third_base,0
EDDIE_MATHEWS,17,2391,8537,1509,2315,354,72,512,1453,1444,1487,0.271,0.37799999999999995,0.509,0.956,Third_base,1
PETE_REISER,10,861,2662,473,786,155,41,58,368,343,369,0.295,0.38,0.45,0.9790000000000001,Outfield,0
TOM_EGAN,10,373,979,74,196,25,3,22,91,80,336,0.2,0.267,0.299,0.987,Catcher,0
WILLIE_MONTANEZ,14,1632,5843,645,1604,279,25,139,802,465,751,0.275,0.331,0.402,0.992,First_base,0
GIL_HODGES,18,2071,7030,1105,1921,295,48,370,1274,943,1137,0.273,0.361,0.48700000000000004,0.992,First_base,0
MERV_SHEA,11,439,1197,105,263,39,7,5,115,189,145,0.22,0.327,0.27699999999999997,0.976,Catcher,0
JIM_ESSIAN,12,710,1855,194,453,85,3,33,207,231,171,0.244,0.33,0.34700000000000003,0.9840000000000001,Catcher,0
GLENN_MYATT,16,1004,2678,346,722,137,37,38,387,248,195,0.27,0.33399999999999996,0.391,0.9740000000000001,Catcher,0
DUFFY_DYER,14,722,1993,151,441,74,11,30,173,228,415,0.221,0.307,0.315,0.992,Catcher,0
HOBIE_LANDRITH,14,772,1929,179,450,69,5,34,203,253,188,0.233,0.32299999999999995,0.327,0.983,Catcher,0
FRED_CLARKE,21,2242,8568,1619,2672,361,220,67,1015,874,135,0.312,0.386,0.429,0.9520000000000001,Outfield,2
CARLOS_MAY,10,1165,4120,545,1127,172,23,90,536,512,565,0.27399999999999997,0.36,0.392,0.9840000000000001,Outfield,0
MINNIE_MINOSO,17,1835,6579,1136,1963,336,83,186,1023,814,584,0.298,0.391,0.45899999999999996,0.9740000000000001,Outfield,0
BOB_ASPROMONTE,13,1324,4369,386,1103,135,26,60,457,333,459,0.252,0.31,0.336,0.96,Third_base,0
MEL_OTT,22,2730,9456,1859,2876,488,72,511,1860,1708,896,0.304,0.414,0.5329999999999999,0.98,Outfield,1
BILL_PHILLIPS,10,1038,4255,562,1130,214,98,17,298,178,215,0.266,0.299,0.374,0.971,First_base,0
BERNIE_FRIBERG,14,1299,4169,544,1170,181,44,38,471,471,498,0.281,0.35600000000000004,0.373,0.953,Third_base,0
IRA_THOMAS,10,484,1352,124,327,46,17,3,155,82,8,0.242,0.295,0.308,0.97,Catcher,0
DEACON_McGUIRE,26,1781,6290,770,1749,300,79,45,787,515,214,0.278,0.341,0.37200000000000005,0.938,Catcher,0
WALT_WILMOT,10,960,3981,725,1100,152,91,58,594,349,222,0.276,0.337,0.40399999999999997,0.903,Outfield,0
ROY_THOMAS,13,1470,5296,1011,1537,100,53,7,299,1042,11,0.29,0.413,0.33299999999999996,0.972,Outfield,0
BILLY_HAMILTON,14,1591,6268,1690,2158,242,94,40,736,1187,218,0.344,0.455,0.43200000000000005,0.9259999999999999,Outfield,2
GEORGE_MORIARTY,13,1076,3671,372,920,147,32,5,376,234,59,0.251,0.303,0.312,0.9309999999999999,Third_base,0
LEE_MAY,18,2071,7609,959,2031,340,31,354,1244,487,1570,0.267,0.315,0.45899999999999996,0.9940000000000001,First_base,0
HAL_TROSKY,11,1347,5161,835,1561,331,58,228,1012,545,440,0.302,0.371,0.522,0.993,First_base,0
FRANK_LaPORTE,11,1194,4212,501,1185,198,79,15,560,288,85,0.281,0.331,0.377,0.9520000000000001,Second_base,0
DOTS_MILLER,12,1589,5805,711,1526,232,108,32,715,391,454,0.263,0.314,0.35700000000000004,0.988,First_base,0
MIGUEL_DILONE,12,800,2000,314,530,67,25,6,129,142,197,0.265,0.316,0.33299999999999996,0.975,Outfield,0
RICHIE_HEBNER,18,1908,6144,865,1694,273,57,203,890,687,741,0.276,0.35600000000000004,0.43799999999999994,0.946,Third_base,0
ED_BRINKMAN,15,1845,6045,550,1355,201,38,60,461,444,845,0.22399999999999998,0.282,0.3,0.97,Shortstop,0
GEORGE_GRANTHAM,13,1444,4989,912,1508,292,93,105,712,717,526,0.302,0.392,0.461,0.9490000000000001,Second_base,0
COOKIE_ROJAS,16,1822,6309,714,1660,254,25,54,593,396,489,0.263,0.309,0.337,0.9840000000000001,Second_base,0
CLAY_DALRYMPLE,12,1079,3042,243,710,98,23,55,327,387,403,0.233,0.324,0.335,0.987,Catcher,0
PAUL_RADFORD,12,1361,4979,945,1206,176,57,13,417,791,373,0.242,0.35100000000000003,0.308,0.9009999999999999,Outfield,0
ALEX_TREVINO,13,939,2430,245,604,117,10,23,244,205,317,0.249,0.312,0.33299999999999996,0.9790000000000001,Catcher,0
REGGIE_SMITH,17,1987,7033,1123,2020,363,57,314,1092,890,1030,0.287,0.37,0.489,0.976,Outfield,0
JOCKO_MILLIGAN,10,772,2964,440,848,189,50,49,363,210,133,0.28600000000000003,0.341,0.433,0.93,Catcher,0
JERRY_TURNER,10,733,1742,222,448,73,9,45,238,159,245,0.257,0.322,0.387,0.9590000000000001,Outfield,0
FREDDY_PARENT,12,1327,4984,633,1306,180,74,20,471,333,?,0.262,0.315,0.34,0.927,Shortstop,0
VIC_DAVALILLO,16,1458,4017,509,1122,160,37,36,329,212,422,0.27899999999999997,0.317,0.364,0.986,Outfield,0
DOLPH_CAMILLI,12,1490,5353,936,1482,261,86,239,950,947,961,0.27699999999999997,0.38799999999999996,0.49200000000000005,0.99,First_base,0
CITO_GASTON,11,1026,3120,314,799,106,30,91,387,185,693,0.256,0.3,0.397,0.97,Outfield,0
RON_WASHINGTON,10,564,1586,190,414,65,22,20,146,65,266,0.261,0.294,0.368,0.958,Shortstop,0
CASS_MICHAELS,12,1288,4367,508,1142,147,46,53,501,566,406,0.262,0.349,0.353,0.973,Second_base,0
WILLIE_RANDOLPH,18,2202,8018,1239,2210,316,65,54,687,1243,675,0.276,0.375,0.35100000000000003,0.98,Second_base,0
HANK_GOWDY,17,1050,2735,270,738,124,27,21,322,311,247,0.27,0.35100000000000003,0.358,0.975,Catcher,0
KEN_REITZ,11,1344,4777,366,1243,243,12,68,548,184,518,0.26,0.293,0.359,0.97,Third_base,0
BILL_WAMBSGANSS,13,1491,5237,710,1359,215,59,7,520,490,357,0.259,0.32799999999999996,0.327,0.958,Second_base,0
