Dataset,AutoWeka,TPot,SmartML(Train),SmartML,Receipe,AutoSkLearn,AutoSkLearn - Vanilla,AutoSkLearn - Vanilla + MetaLearning,AutoSkLearn - Vanilla + Ensembling
page-blocks,0.976959989786562,0.97954711468225,,0.967859751643535,NA,0.975164353542732,0.969413195562591,0.98171062931262,0.979484445835797
php0FyS2T,0.486282675657676,NA,,0.71,0.521348,0.648343170718171,0.587567474192474,0.648108851932381,0.596568366574946
php3CTpvq,0.541620845553745,NA,,0.65872016714435,0.513735,0.653192352711161,0.653192352711161,0.653192352711161,0.652314773007713
php5OMDBD,1,NA,,1,NA,0.983384615384615,1,1,1
php5s7Ep8,0.768011816869743,NA,,0.631687242798354,0.457233,0.78644820672069,0.795410246674875,0.78570549631159,0.776171245455137
php7KLval,0.707221333333333,0.759664507804164,,0.716,NA,0.783890163626105,0.778393745557925,0.769529495380242,0.759907823328046
phpB0xrNj,0.879336453127469,NA,,0.945128205128205,0.853568,0.962101812848439,0.936316059162133,0.936316059162133,0.930872831629164
phpbL6t4U,0.979842645733745,NA,,NA,NA,0.992230773747828,0.993096202953958,0.991662834401616,0.992528025471246
phpchCuL5,1,1,,1,1,1,1,1,1
phpCsX3fx,0.792821817071817,NA,,0.815,0.763764,0.791790015540015,0.75226535964036,0.75226535964036,0.807023212898213
phpdo58hj,0.875,0.875,,0.6875,NA,0.936740890688259,0.810222672064777,0.875,1
phpdReP6S,0.910884368541281,0.921591290520026,,0.911671924290221,0.925449,0.917055202740995,0.90149588525964,0.927273641803239,0.907889080676415
phpEZ030X,0.75,NA,,0.5625,NA,0.742063492063492,0.742063492063492,0.742063492063492,0.742063492063492
phpfLuQE4,0.786141192505326,NA,,0.612307692307692,0.821572,0.828848412917844,0.796759205706574,0.728295922082451,0.847481307751511
phpfrJpBS,0.924868314042018,1,,NA,NA,0.997838563666511,0.999382747272469,1,0.998456979716432
phpGReJjU,1,NA,,1,NA,1,1,1,1
phpGUrE90,0.829352138376949,0.873910645339217,,0.825757575757576,0.86492,0.877896108795939,0.868345596454225,0.883780991735537,0.868345596454225
phphQEck0,0.885721285149834,NA,,0.999542969068799,NA,0.999624694464198,0.999428899196546,0.999641006967354,0.999559461688118
phpHyLSNF,0.832222048854909,NA,,0.65034965034965,NA,0.868769258795022,0.804805155754478,0.804805155754478,0.846960081828503
phpkIxskf,0.881399058267527,NA,,0.906219587720074,NA,0.892437559376412,0.892605984915386,0.892605984915386,0.896422718087252
phpmcGu2X,0.82257641680836,NA,,0.807407407407407,NA,0.933438971043929,0.935708221429422,0.929689101577763,0.94068970905402
phpmPOD5A,0.940962476504919,NA,,0.942511900402783,NA,0.941216716264321,0.93201876330238,0.940921139826965,0.940327283844184
phpn1jVwe,0.977945613595738,0.98318861650992,,0.978898426323319,NA,0.979238992896578,0.976055964648584,0.984099162499388,0.98565046371896
phpN4gaxw,0.93240235910678,NA,,NA,NA,0.996261584732589,0.996549073243885,0.996261584732589,0.995107543802532
phpNevWWL,0.696339739269659,0.706983796242517,,0.711428571428571,0.697675,0.710181197026133,0.713044197801376,0.695002082412767,0.699555588478476
phpoOxxNn,0.627431730034671,NA,,0.85,0.782579,0.789608058608058,0.776730533355533,0.776730533355533,0.78156746031746
phpoW7Dbi,0.973592182747687,NA,,0.577557755775578,1,0.996699741865696,1,1,1
phpPbCMyg,0.580196973827395,NA,,0.998533724340176,0.598789,0.59064457175592,0.578519143156042,0.578519143156042,0.589069965617764
phprAeXmK,0.929474239547628,NA,,NA,0.93528,0.948280978684732,0.948280978684732,0.948280978684732,0.94781530548085
phpSZJq5T,0.923177974893661,NA,,0.822222222222222,NA,0.891666666666667,0.902964682949203,0.921952484697583,0.923256692455777
phptd5jYj,0.85072291047105,NA,,0.929824561403509,NA,0.940209925820267,0.924685293813186,0.939971695511699,0.935443396023231
phpTJRsqa,0.667600825406012,0.675338598810669,,0.501224489795918,0.595644,0.647436055238516,0.640167296844046,0.641948419040546,0.642309531062579
phpvcoG8S,0.625193532750359,NA,,NA,NA,0.626031632936453,0.61394949480821,0.617565033538747,0.626007380320011
phpVeNa5j,0.995601494078238,NA,,0.998533724340176,0.997802,0.99779871404566,0.996332744907505,0.997066243311134,0.997069001036651
phpvtdNPU,NA,NA,,0.666666666666667,NA,0.872222222222222,0.839393939393939,0.872222222222222,0.801001082251082
phpWfYmlu,0.972971646243509,NA,,0.978918918918919,0.978376,0.979457730863931,0.978375598356312,0.978375598356312,0.978377872969445
phpxijhaP,0.984323705958993,0.982161687852914,,0.982162162162162,0.977834,0.98324279768001,0.983242582232026,0.98270189400304,0.982702338799764
phpYLeydd,0.652402612943586,NA,,NA,NA,0.662193084598335,0.614656642408011,0.654977105579678,0.647527342651821
phpZrCzJR,0.991246609931731,0.989815152791427,,0.989019607843137,NA,0.990946946689716,0.990946946689716,0.990521810314583,0.991246609931731
pokerhand-normalized,0.984323705958993,NA,,NA,NA,0.99465859744955,0.99465859744955,0.99465859744955,0.99465859744955
schizo_,1,1,,0.564705882352941,0.567846,0.976340326340326,0.988204608027822,0.988204608027822,0.976340326340326
shuttle_,0.99853264837791,NA,,0.999793103448276,,0.999720885303648,0.99968493806656,0.999578298963921,0.99951362865556
solar-flare_1_,0.783518470679411,0.747093774218548,,0.772151898734177,0.760169,0.709253262682759,0.784753867791842,0.784753867791842,0.772343690065209
synthetic_control_,0.953023715695606,0.966514051439477,,0.973333333333333,NA,0.973168558203423,0.966538550904233,0.97983789260385,0.960030921459493
tumors_C_,0.6,NA,,0.533333333333333,NA,0.677248677248677,0.622222222222222,0.62,0.6
umistfacescropped,NA,NA,,0.993055555555556,1,0.966311327561327,0.967427248677249,0.967427248677249,0.967427248677249
vowel,1,0.996010178041199,,0.987903225806452,0.874856,1,0.996010178041199,1,1
wine-quality-red,0.679235335028775,0.66298003003003,,0.675,0.628919,0.662087286527514,0.647488678584718,0.651165197656451,0.650844764811112
