Dataset,AutoWeka,TPot,SmartML,Receipe,AutoSkLearn,AutoSkLearn - Vanilla,AutoSkLearn - Vanilla + MetaLearning,AutoSkLearn - Vanilla + Ensembling
dataset_186_satimage,0.912255893805034,0.918951243049215,0.90547263681592,0.916861,0.914446255214836,0.913370235583472,0.919625780212087,0.898523041156449
dataset_187_abalone,0.234453398333666,0.230881195158978,0.24688995215311,NA,0.220841656506217,0.211926999805912,0.222759762003624,0.224451247422107
dataset_189_baseball,0.910077592957312,0.93068916550849,0.943283582089552,NA,0.910113464299058,0.923031029725323,0.914494833524684,0.907408815793643
dataset_194_eucalyptus,0.607801576796078,0.701125672413167,0.684782608695652,0.350916,0.668731294677999,0.686424363597737,0.687015704320603,0.714727126389027
dataset_24_mushroom,0.988180891550752,1,1,1,1,1,1,1
dataset_26_nursery,0.999229310830387,0.999229327303233,0.998765432098765,NA,0.999228465689183,0.999231998678797,0.999537961114807,0.997687518235008
dataset_28_optdigits,0.987917120974156,0.980073590454575,0.97508896797153,0.990055,0.988617323405946,0.982221275912701,0.989326496056424,0.987921952129946
dataset_31_credit-g,0.738915609193362,0.741034666666667,0.712,0.675038,0.769431872792996,0.710358270418668,0.708950539359524,0.747841193849604
dataset_36_segment,0.979347317410555,0.981133956743344,0.941176470588235,NA,0.981039561822682,0.979462251571515,0.974147598093682,0.982780783720356
dataset_39_ecoli,0.911069882498454,NA,0.892857142857143,0.326878,0.878278106114241,0.861174265227026,0.891512160419723,0.902423469387755
dataset_40_sonar,0.749721706864564,0.865235208742423,0.903846153846154,0.312188,0.807122507122507,0.846153846153846,0.788539799083639,0.923076923076923
dataset_42_soybean,0.943985250977406,0.882776204580716,0.60233918128655,0.570355,0.885263438616573,0.887162567680302,0.89822183194234,0.885430718130353
dataset_44_spambase,0.943469964998234,0.960002393817097,0.952215464813206,0.964372,0.955549724670462,0.958135907414201,0.952945536562722,0.9572136466026
dataset_54_vehicle,0.711656758378398,0.803405867878643,0.85377358490566,0.565659,0.810133703946462,0.777399282423893,0.787705653354751,0.828818054761451
dataset_59_ionosphere,0.94198833181884,0.953814002089864,0.920454545454545,0.808798,0.930024972105626,0.94198833181884,0.930721003134796,0.94198833181884
dataset_6_letter,0.959891043308494,NA,0.9558,NA,0.96502200400107,0.951016616504064,0.961616588659603,0.954001143540614
dataset_60_waveform-5000,0.858438719170746,0.86087373759304,0.856,0.859928,0.867735973100986,0.870180751575308,0.867048630279826,0.871043124986598
dataset_61_iris,0.973952283084622,0.896787423103213,0.973684210526316,0.712126,0.921856849253865,0.973952283084622,0.973952283084622,1
dataset_9_autos,0.83030303030303,0.828398230390782,0.134615384615385,NA,0.786402618321124,0.80552999631947,0.747828784119107,0.693458154748477
devnagari,NA,NA,0.736173913043478,NA,0.899348045197571,0.885981028532048,0.885981028532048,0.884395790655932
electricity-normalized,0.735341761273816,0.904025452713156,0.911899717514124,0.801065,0.924634531092366,0.924839291091158,0.915295444567895,0.925764369924876
eye_movements,0.384283167633142,0.744307091636587,0.698610095098756,0.756364,0.712845636282758,0.702220767552472,0.690972449529884,0.667107642090778
GCM,NA,NA,0.666666666666667,0.710516,0.741092472342472,0.791829004329004,0.716534391534392,0.8
gina_agnostic,0.888071892667917,0.945792826477145,0.844290657439446,NA,0.946943483275663,0.946908786746165,0.95270255053187,0.959619065687502
hiva_agnostic,0.955278009301663,NA,0.962192816635161,0.959015,0.955015264733471,0.95757144472209,0.956673478163312,0.94850771594768
ipums_la_99-small,0.789178505522229,NA,0.932609678878336,NA,0.909771389499704,0.903657444940332,0.915174064386124,0.906135132610669
jm1,0.766209058571035,0.789808272988894,0.694709772226304,NA,0.773042639023027,0.780832385861004,0.772450368954048,0.780221422133898
jungle_chess_2pcs_endgame_panther_lion,0.960819859971477,1,1,1,0.999145326446326,1,0.99744971321339,0.998281777325226
KDDCup99,0.999235831629028,NA,0,0.420478,0.999720746674652,0.999580623134871,0.999719435471234,0.999635423592818
kin8nm,0.785081476868106,0.860401426466341,0.85498046875,0.339651,0.890609946553095,0.896010524196834,0.894064954250255,0.89453125
leukemia,1,0.943515421776291,0.944444444444444,0.820606,1,0.944973544973545,1,1
lymphoma_2classes,0.751748251748252,0.917249417249417,0.833333333333333,0.574074,0.647619047619048,1,0.833333333333333,0.917249417249417
MagicTelescope,0.828834594774383,0.877104456683131,0.867718191377497,NA,0.879056471432118,0.877185761121267,0.876816627359474,0.875875906971455
mfeat-pixel,0.993913148628943,0.995961861819548,0.97,0.998009,0.993913148628943,0.993913148628943,0.993971735969759,0.993913148628943
mnist_784,NA,NA,0.927085714285714,NA,0.843059579291351,0.964158997468952,0.964158997468952,0.963303210612212
openml_phpJNxH0q,NA,0.977242221380152,0.954285714285714,0.960089,0.971362426453722,0.947629926321515,0.971362426453722,0.97703481392557
page-blocks,0.977950825135694,0.98317377896761,0.967859751643535,0.963089,0.97808619430241,0.979484445835797,0.979997856981602,0.97648088014474
php0FyS2T,0.58043432955933,NA,0.7025,0.621259,0.6603266651649,0.63990521978022,0.648108851932381,0.604413572538572
php3CTpvq,0.541620845553745,NA,0.658934454771918,0.661559,0.659161245748253,0.653192352711161,0.653192352711161,0.655137832969171
php5OMDBD,1,1,0.996,1,1,1,0.996177777777778,0.992355555555556
php5s7Ep8,0.782606814489096,0.804641216271397,0.685185185185185,0.531298,0.789135745384568,0.78260222192914,0.795595979777883,0.796104458668575
php7KLval,0.707221333333333,0.760665245202559,0.716,0.719818,0.768780487804878,0.755029034816198,0.77172,0.771376811594203
phpB0xrNj,0.879336453127469,NA,0.945128205128205,NA,0.965091234031577,0.94761284940789,0.964108387632252,0.963646989252792
phpbL6t4U,0.991079551266759,1,NA,0.995112,0.994536431217293,0.993097634926497,0.993385780622775,0.993961722738051
phpchCuL5,1,0.919519489522499,1,1,1,1,0.996300494713493,1
phpCsX3fx,0.792821817071817,NA,0.8175,0.819862,0.808500263625264,0.77892291042291,0.767833583083583,0.795433608058608
phpdo58hj,0.683704453441295,1,0.625,0.75,0.875,0.937745098039215,0.810222672064777,0.875
phpdReP6S,0.910884368541281,0.853854110169036,0.913249211356467,0.921815,0.912868833075286,0.913573929369222,0.927701082120915,0.913022715807354
phpEZ030X,0.75,NA,0.6875,0.668522,0.742063492063492,0.668522267206478,0.810294117647059,0.668522267206478
phpfLuQE4,0.725987892931619,NA,0.595384615384615,0.849231,0.855322998846328,0.821313643543696,0.849109411421911,0.824568890364897
phpfrJpBS,0.999382716049383,NA,NA,0.987769,1,0.999382747272469,1,1
phpGReJjU,1,0.88317902288795,1,NA,1,1,1,1
phpGUrE90,0.829352138376949,NA,0.825757575757576,0.870915,0.878508535998415,0.879522497704316,0.866958672268407,0.874858234809763
phphQEck0,0.885721285149834,0.999608382426665,0.999445033869257,NA,0.999608382426665,0.999543112831109,0.999641006967354,0.999559449107012
phpHyLSNF,0.832222048854909,0.852280816349642,0.629370629370629,0.873958,0.876482457982382,0.904780292735558,0.89614753484827,0.893734991545076
phpkIxskf,0.895966304106482,0.900775436888167,0.907635141112979,NA,0.897424431638517,0.892605984915386,0.901301043280364,0.901007032805939
phpmcGu2X,0.821261101493045,0.955176709794678,0.814814814814815,0.973943,0.951290775416518,0.937627491144456,0.943518560567546,0.951019343029126
phpmPOD5A,0.940962476504919,0.941601398251951,0.942511900402783,0.922247,0.937010793900494,0.933785939323552,0.928478184638778,0.933742811395184
phpn1jVwe,0.977945613595738,0.984142213433508,0.978540772532189,NA,0.981153524345448,0.981941875431188,0.979912783825726,0.981624766882936
phpN4gaxw,0.93240235910678,,NA,0.989627,0.996258944725372,0.995113127289794,0.995973732430527,0.997123584803704
phpNevWWL,0.696963933281069,0.700427283265426,0.714285714285714,0.697675,0.681257731092992,0.712535638613442,0.698976236217412,0.68746607985003
phpoOxxNn,0.756607115107115,0.771680555555556,0.85,0.835069,0.834036505161505,0.810984695859696,0.809824938949939,0.838710692085692
phpoW7Dbi,0.327847354271851,NA,0.488448844884488,1,1,1,0.996699741865696,1
phpPbCMyg,0.592463808451764,0.606093709926655,0.608496732026144,0.598789,0.587300456622678,0.581378459600978,0.586736554725467,0.589258373059994
phprAeXmK,0.939551736272842,NA,NA,NA,0.948280978684732,0.948280978684732,0.948280978684732,0.949401723727635
phpSZJq5T,0.923177974893661,0.94314489928525,0.822222222222222,0.932901,0.944174706919805,0.934081336238199,0.935041915316851,0.955722585330428
phptd5jYj,0.85072291047105,1,0.929824561403509,0.925304,0.940209925820267,0.939997300790288,0.937457561458239,0.942546241761403
phpTJRsqa,0.681512304580863,0.67964772165485,0.501224489795918,0.664741,0.659348009871603,0.640914185893741,0.645128789441012,0.648901815371164
phpvcoG8S,0.629604948932187,0.9426328171933,NA,NA,0.655601118434018,0.617565033538747,0.658763545439201,0.658763545439201
phpVeNa5j,0.994865514198178,0.997799238973177,0.997800586510264,0.655329,0.997066243311134,0.996341224230841,0.997066243311134,0.997800137033709
phpvtdNPU,NA,0.911616161616161,0.666666666666667,0.839394,0.911616161616161,0.872222222222222,0.911616161616161,0.911616161616161
phpWfYmlu,0.972971646243509,0.977837611196101,0.978918918918919,0.978376,0.975673863225565,0.978375598356312,0.975672839611622,0.972968802837512
phpxijhaP,0.983783253083935,0.983242582232026,0.982162162162162,0.98108,0.983242582232026,0.982702338799764,0.976756573387167,0.98324279768001
phpYLeydd,0.652402612943586,0.676185845207479,NA,0.155682,0.668523614392994,0.64932991672698,0.663809050113406,0.688923100925898
phpZrCzJR,0.991246609931731,0.992471251242347,0.989019607843137,0.985544,0.990211502956367,0.989125140683391,0.990211502956367,0.990211502956367
pokerhand-normalized,0.774497666449695,NA,NA,NA,0.998715844154491,0.995102944411744,0.99465859744955,0.995155345062059
schizo,1,1,0.564705882352941,0.567846,0.94102304013911,0.964786913473956,0.94102304013911,0.952358490566038
shuttle,0.99853264837791,NA,0.999793103448276,0.999633,0.999863631874152,0.99968493806656,0.999803786650926,0.999723317486769
solar-flare_1,0.782581004697078,0.747692863106117,0.734177215189873,0.760169,0.771814345991561,0.747438215792646,0.739157099401433,0.765404768913747
synthetic_control,0.980008862301983,0.986650616530765,0.973333333333333,NA,0.97983789260385,0.986650616530765,0.966396487673083,0.966483191749149
tumors_C,0.7,0.677248677248677,0.533333333333333,0.496296,0.677248677248677,0.560127591706539,0.62,0.6
umistfacescropped,NA,NA,0.993055555555556,0.973437,0.974603174603174,0.967427248677249,0.967427248677249,0.967427248677249
vowel,1,1,0.987903225806452,0.874856,0.992100926478603,1,1,1
wine-quality-red,0.665707273220567,0.666108046348729,0.605,0.61936,0.662083995182953,0.659556862426995,0.666167175239756,0.653873799016492
